gene_id,Blood,Brain,Adipose Tissue,Muscle,Blood Vessel,Heart,Thyroid,Kidney,Uterus,Vagina,Breast,Skin,Salivary Gland,Adrenal Gland,Lung,Spleen,Pancreas,Esophagus,Stomach,Colon,Small Intestine,Prostate,Testis,Nerve,Liver,Pituitary,Ovary,Bladder,Cervix Uteri,Fallopian Tube,tau
ENSG00000170166,0.0,0.0,10.6762,1.410915,5.44205,0.23198,3.584315,20.4043,79.542,9.367655,17.208849999999998,4.28829,1.42607,14.1009,0.9968459999999999,16.2646,0.46418,2.5540950000000002,1.51525,12.00125,10.0202,7.167125,7.9298,13.10865,0.030688,0.0,39.596,7.18744,15.4729,36.32,0.8878187325021957
ENSG00000018510,4.186325,4.425605,10.4395,5.3471150000000005,10.5836,3.33053,7.4386,4.30924,11.9776,7.886385000000001,8.64224,6.15323,9.22986,7.85405,9.027265,6.70237,4.067855,8.764885,4.36949,10.17675,8.1139,5.062705,11.543849999999999,12.360800000000001,4.759595,4.93272,7.55967,8.97798,8.48897,8.91488,0.40505255490661246
ENSG00000197557,0.1603595,1.79034,1.9381,1.212145,2.02615,1.33988,4.926254999999999,1.59891,3.73666,1.479115,2.9317,1.8968,3.16974,2.53546,2.033015,1.27549,1.36638,2.123685,1.8269,2.5026599999999997,1.89996,2.631825,17.5608,3.56047,0.991402,4.88235,2.3117,2.36405,2.47521,3.63672,0.8691768195699199
ENSG00000155636,1.94729,3.80717,5.25969,1.97072,7.19262,2.19763,10.1938,3.23295,9.35151,6.763365,5.832885,5.4678,6.16904,4.97754,6.5206,8.73363,2.5856149999999998,5.405645,4.80904,6.151655,6.7063,8.033705,9.134065,9.304495,2.58902,9.10918,7.91149,6.97885,9.28201,9.34118,0.4020479994262909
ENSG00000116095,1.678305,3.40325,4.6582,1.35449,6.92857,2.65209,5.673755,2.33751,6.35878,3.872605,4.656905,2.84985,3.57104,4.17835,4.937455,3.6183,1.25593,4.798595,3.25197,4.834695,3.61801,4.8052150000000005,8.279605,5.8134049999999995,1.67228,6.14115,6.05257,4.55559,4.95984,5.2506,0.501311771307431
ENSG00000163492,0.09020449999999999,0.062667,0.279147,0.5982179999999999,0.248267,3.95477,0.2733535,0.033772,0.11686,0.1134695,0.18633699999999997,0.047088,0.073592,0.133853,0.37927500000000003,0.214106,0.6483435,0.134373,0.085892,0.1061375,0.170685,0.0630365,0.9048320000000001,0.233433,0.0306335,0.027689,0.162477,0.167783,0.256426,0.369583,0.9458398818781301
ENSG00000144331,0.016830499999999998,3.7697950000000002,1.13062,6.055804999999999,1.16636,2.26534,1.3465500000000001,3.29372,0.788606,1.693055,2.4112099999999996,0.586456,0.831192,3.96953,10.72905,0.205972,0.08963199999999999,1.6459000000000001,9.24971,1.9375399999999998,0.611803,3.939615,11.394649999999999,1.3618700000000001,5.36742,0.608568,11.7975,1.78749,0.837449,0.805677,0.7664688880607377
ENSG00000163510,11.67785,8.396895,22.6194,10.630700000000001,26.8053,6.80527,27.4083,8.83899,33.6851,25.8505,23.51885,21.3587,15.771,12.7068,20.372349999999997,22.2091,5.842195,18.79215,11.7504,19.9013,18.1713,20.5531,16.3611,28.252200000000002,7.019145,16.8038,33.5372,24.6924,30.0524,30.8067,0.43952975115673254
ENSG00000150722,0.0,0.368261,0.206977,0.108832,0.214297,2.282,0.324059,0.236882,0.108985,0.3206565,0.08519650000000001,0.242575,0.439342,0.0983,0.541961,0.042901,0.14044800000000002,0.101872,0.170453,0.095964,0.090394,0.14578,14.76425,4.2978950000000005,1.089975,0.925156,0.023014,0.281754,0.203386,0.177724,0.9687851771491365
ENSG00000115252,0.022253500000000002,7.10698,7.50107,0.9163749999999999,18.646,3.05722,19.0206,8.16279,8.57117,6.794415,4.05237,1.01614,1.45132,2.3565,2.94972,1.55654,0.525655,4.0092550000000005,2.68656,7.27963,3.19678,2.73671,17.6117,14.710149999999999,0.7135564999999999,1.64946,4.66849,7.17131,11.4045,11.9262,0.7018644032767377
ENSG00000077232,2.312115,5.47312,11.2947,2.959635,21.9482,4.56288,16.52075,5.1933,20.3309,9.712869999999999,11.64815,6.99836,13.4918,5.74861,13.54045,11.932,7.63258,8.432065,8.73293,9.92022,10.8603,11.178,23.7298,21.647100000000002,4.296835,17.0248,15.596,10.3124,15.6651,19.0422,0.5291699713527673
ENSG00000162998,0.097789,7.261015,17.6111,9.061215,346.602,6.80877,27.59495,12.4078,27.9775,19.0546,16.079900000000002,9.70867,4.80506,2.37608,21.8155,73.6909,1.789115,15.9276,10.1574,16.55865,18.7303,18.81025,10.20475,38.2719,1.24934,13.2923,21.9847,15.1366,46.4637,15.0234,0.9502608622550082
ENSG00000061676,0.307409,16.2832,22.6124,18.07885,42.8,11.6727,24.4451,8.59008,29.8731,28.645449999999997,20.83545,28.2579,19.3372,16.5558,22.344749999999998,6.43337,6.366555,29.491799999999998,17.0846,23.07895,13.3954,17.1006,11.2918,24.4939,4.93257,18.8296,21.1459,26.9867,26.1742,25.6168,0.5647259635836287
ENSG00000162999,0.16579349999999998,1.1927150000000002,0.94343,0.4463825,4.74994,1.37927,1.742225,0.691849,3.02419,1.21277,0.9016755000000001,0.952708,0.955301,1.76717,1.177985,1.57553,0.6160950000000001,1.740415,3.07555,1.9289450000000001,1.046,1.4843,3.17746,1.249305,0.426454,2.44328,1.67889,1.96851,1.69821,2.46971,0.6868772171786417
ENSG00000170396,0.2871995,2.9371650000000002,0.123155,0.0,0.054199,0.009118,0.109747,0.301504,0.047057,0.47044949999999996,0.0773595,0.048219,0.088448,0.05091,0.47532050000000003,0.424918,0.0157025,0.091136,0.16378,0.26727,1.23013,1.0974599999999999,0.42806900000000003,0.09503049999999999,0.036795,0.085354,0.103046,0.540397,0.198369,0.081412,0.917800691811838
ENSG00000065548,9.435745,19.451749999999997,26.4124,17.027,28.1049,10.036,29.26045,13.9755,32.0296,28.058149999999998,26.396900000000002,31.6162,21.5864,23.6255,25.14405,21.764,11.7534,23.0594,17.4696,22.890500000000003,21.8476,24.40815,28.122799999999998,28.041150000000002,11.26455,25.2285,30.3855,25.3094,28.8708,28.9465,0.2899964138775081
ENSG00000144369,0.10230700000000001,35.5035,3.80273,0.4255415,2.95414,0.835695,3.2525649999999997,0.754653,10.1519,4.683455,4.524965,3.59803,7.84818,7.37819,2.16331,1.31312,0.45988300000000004,2.165375,1.93517,3.573785,2.35666,3.32896,1.46002,6.443715,0.102376,27.7097,10.8853,3.08335,10.6359,6.24975,0.8696789723985445
ENSG00000003436,0.43417799999999995,0.999559,51.87,10.2488,38.9442,11.8885,44.2167,18.7997,30.9628,31.883650000000003,46.734899999999996,18.4867,11.8511,9.7717,133.929,19.6324,4.870405,22.8066,11.0486,18.766,31.6053,15.553,4.09708,43.33815,60.6163,6.22406,21.9041,31.0001,35.5631,31.9507,0.8233576714991293
ENSG00000168542,0.5989625000000001,0.7744975000000001,319.115,14.03825,618.641,76.4149,143.80149999999998,29.8972,743.448,467.25750000000005,221.76600000000002,259.141,86.3559,65.8551,249.8435,120.702,22.8464,176.68900000000002,141.482,441.4355,218.242,203.7265,66.2008,142.23,26.42025,21.2606,307.507,353.424,1195.42,388.263,0.8290204925811676
ENSG00000115368,5.30293,11.723,25.3174,8.952095,24.1649,7.65919,24.3616,9.46735,47.594,28.74625,26.1219,28.0959,17.3003,22.4718,22.162799999999997,32.0198,10.24645,21.00775,16.3705,21.3442,21.8186,24.67705,25.174950000000003,38.8523,8.94105,22.0641,48.3738,28.6018,45.3365,45.8246,0.5211706472340898
ENSG00000151687,0.535369,0.576557,2.42778,0.9567095,3.41981,0.699312,3.958825,0.877961,4.24492,2.700445,2.53249,1.18688,2.1784,1.06708,2.08619,1.78102,1.10153,1.812625,1.5186,2.226395,1.82286,2.9234850000000003,12.195,5.11689,0.602849,2.10734,4.74372,3.10801,3.69098,4.36872,0.8123206161371959
ENSG00000138379,0.0,0.7284855,0.780445,1.33504,0.864049,0.161675,0.9744435,0.50661,1.12627,0.971395,0.752497,0.658885,0.463908,1.39989,0.5463715,0.392798,0.164825,0.4587645,0.269667,0.683188,0.386364,0.7554705,0.7476525,1.7733349999999999,0.1242425,1.35505,0.970365,0.41929,2.17784,0.849193,0.6735112186449845
ENSG00000151689,9.602675000000001,27.85595,30.5257,10.93805,25.4631,14.7524,35.807,13.1943,37.0508,57.462450000000004,30.91205,25.3732,18.3158,38.9961,45.7455,39.0022,13.554649999999999,38.8868,13.9507,28.11695,28.655,28.400399999999998,104.3135,36.69265,13.324349999999999,46.3184,19.1957,27.8547,44.7064,40.3433,0.7219927810448049
ENSG00000115419,14.60005,32.672799999999995,41.7417,7.050575,97.4174,13.2507,50.52865,63.8415,46.4952,27.18385,29.748649999999998,34.4867,18.5454,64.0844,58.069500000000005,47.4666,14.75085,26.824350000000003,12.8294,26.68525,42.4715,21.5269,13.8666,43.477050000000006,3.3487,22.4152,36.7809,26.0278,36.7741,33.4628,0.6775313469809225
