variant,class,trait,is_control,n_class,K_trait,k_obs,null_overlap_median,OR_obs_haldane,p_fisher_one_sided,p_emp_lengthmatched,q_bh_perm
full [span x CDS sensitivity],regulation_driven,Neuroticism,False,293,122,21,17.0,3.5605640168120396,6.550659537947252e-06,0.14185814185814186,0.4210789210789211
full [span x CDS sensitivity],regulation_driven,Cognitive performance,False,293,149,24,21.0,3.3006157189424123,4.7443283753684345e-06,0.2807192807192807,0.4210789210789211
full [span x CDS sensitivity],regulation_driven,Height,True,293,2191,183,183.0,2.2104573661486193,5.154673847080334e-11,0.5424575424575424,0.5917718644991372
full [span x CDS sensitivity],regulation_driven,LDL cholesterol,True,293,256,22,19.0,1.5717584139287777,0.04555838777243093,0.25074925074925075,0.4210789210789211
full [span x CDS sensitivity],regulation_driven,Crohn disease,True,293,95,3,7.0,0.5977857375447737,0.9255024857570309,0.985014985014985,0.9850149850149851
full [span x CDS sensitivity],regulation_driven,Type 2 diabetes,True,293,561,60,58.0,2.1598608884267967,1.724951008630618e-06,0.4275724275724276,0.5700965700965701
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,Schizophrenia,False,403,257,46,38.0,2.681654515697069,1.3396090432312167e-07,0.07892107892107893,0.2367632367632368
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,ASD,False,403,116,15,15.0,1.757238589750905,0.04622867046230859,0.5864135864135864,0.7228771228771229
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,Educational attainment,False,403,822,133,117.0,2.779016914665319,1.3408895060453697e-17,0.01898101898101898,0.11388611388611389
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,Intelligence,False,403,180,21,23.0,1.5550023562193949,0.0552401927738485,0.6953046953046953,0.7585142130596676
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,Major depression,False,403,154,23,23.0,2.0855438361571474,0.0027831016841885848,0.6023976023976024,0.7228771228771229
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,Bipolar disorder,False,403,115,23,18.0,2.990893916255283,3.509457665739858e-05,0.07392607392607392,0.2367632367632368
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,Neuroticism,False,403,122,21,20.0,2.475694645674362,0.0006762042241506088,0.4675324675324675,0.7012987012987013
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,Cognitive performance,False,403,149,27,25.0,2.65303412201534,4.744533195037792e-05,0.3356643356643357,0.5754245754245755
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,Height,True,403,2191,259,241.0,2.452853887921503,1.3508411781285112e-17,0.017982017982017984,0.11388611388611389
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,LDL cholesterol,True,403,256,29,26.0,1.504279698939245,0.038589130920036824,0.25674325674325676,0.5134865134865135
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,Crohn disease,True,403,95,6,10.0,0.8189803590878746,0.7936184500320773,0.945054945054945,0.9450549450549449
joint-LOO-brain-tau [span x CDS sensitivity],regulation_driven,Type 2 diabetes,True,403,561,81,74.0,2.1518750655405787,4.9711448422319866e-08,0.12887112887112886,0.3092907092907093
