variant,class,trait,is_control,n_class,K_trait,k_obs,null_overlap_median,OR_obs_haldane,p_fisher_one_sided,p_emp_lengthmatched,q_bh_perm
LOO-brain,regulation_driven,Schizophrenia,False,613,257,50,50.0,1.7943126543440844,0.0005196052093761332,0.5204795204795205,0.9209613915496269
LOO-brain,regulation_driven,ASD,False,613,116,21,21.0,1.6211323922504253,0.04328409889772824,0.5834165834165834,0.9209613915496269
LOO-brain,regulation_driven,Educational attainment,False,613,822,189,159.0,2.6273567584502127,2.2751227776155685e-21,0.000999000999000999,0.04795204795204795
LOO-brain,regulation_driven,Intelligence,False,613,180,33,30.0,1.6489087431933314,0.0113114187065665,0.3026973026973027,0.8963344347959732
LOO-brain,regulation_driven,Major depression,False,613,154,38,31.0,2.437913663431314,1.3863086950774733e-05,0.10989010989010989,0.8963344347959732
LOO-brain,regulation_driven,Bipolar disorder,False,613,115,32,24.0,2.8637737422832754,4.65685576279646e-06,0.03296703296703297,0.7912087912087913
LOO-brain,regulation_driven,Neuroticism,False,613,122,33,26.0,2.7548732310327737,6.4767374274730074e-06,0.08291708291708291,0.8963344347959732
LOO-brain,regulation_driven,Cognitive performance,False,613,149,38,33.0,2.5502370720722474,6.036139006377781e-06,0.1938061938061938,0.8963344347959732
LOO-brain,regulation_driven,Height,True,613,2191,354,351.0,1.8768385041878022,2.490739486331831e-13,0.42657342657342656,0.8963344347959732
LOO-brain,regulation_driven,LDL cholesterol,True,613,256,36,37.0,1.1871072238419178,0.2176223372297256,0.6523476523476524,0.9209613915496269
LOO-brain,regulation_driven,Crohn disease,True,613,95,12,15.0,1.0648279500848676,0.510775790118126,0.8491508491508492,0.964616778570267
LOO-brain,regulation_driven,Type 2 diabetes,True,613,561,105,103.0,1.774995934394591,2.301180529757971e-06,0.4405594405594406,0.8963344347959732
LOO-brain,gene_driven_strict,Schizophrenia,False,1099,257,52,53.5,0.8951971151333554,0.7914460382920909,0.6463536463536463,0.9209613915496269
LOO-brain,gene_driven_strict,ASD,False,1099,116,22,25.0,0.8355982764335432,0.8245916944123781,0.7902097902097902,0.964616778570267
LOO-brain,gene_driven_strict,Educational attainment,False,1099,822,171,174.0,0.9141767620474023,0.8469728849957031,0.6263736263736264,0.9209613915496269
LOO-brain,gene_driven_strict,Intelligence,False,1099,180,32,39.0,0.7641993707567478,0.9378391482976921,0.9180819180819181,0.9809321113668941
LOO-brain,gene_driven_strict,Major depression,False,1099,154,23,32.0,0.621615607543811,0.9909173029231395,0.985014985014985,1.0
LOO-brain,gene_driven_strict,Bipolar disorder,False,1099,115,20,24.0,0.7517563153389318,0.9135626455855967,0.8641358641358642,0.964616778570267
LOO-brain,gene_driven_strict,Neuroticism,False,1099,122,26,25.0,0.9668316556901907,0.6193268754685669,0.4855144855144855,0.8963344347959732
LOO-brain,gene_driven_strict,Cognitive performance,False,1099,149,34,31.0,1.0542151419673709,0.44698695719290016,0.27472527472527475,0.8963344347959732
LOO-brain,gene_driven_strict,Height,True,1099,2191,479,473.0,0.9762771958098307,0.6498007477077256,0.3306693306693307,0.8963344347959732
LOO-brain,gene_driven_strict,LDL cholesterol,True,1099,256,57,56.0,1.0164439876670093,0.49871880082816544,0.4855144855144855,0.8963344347959732
LOO-brain,gene_driven_strict,Crohn disease,True,1099,95,25,20.0,1.2810213558013128,0.18893028705026785,0.15884115884115885,0.8963344347959732
LOO-brain,gene_driven_strict,Type 2 diabetes,True,1099,561,122,119.0,0.9798887948115884,0.6016615315246735,0.4175824175824176,0.8963344347959732
LOO-brain,gene_driven_all,Schizophrenia,False,1140,257,55,56.0,0.9171571387140249,0.7466478073963607,0.5964035964035964,0.9209613915496269
LOO-brain,gene_driven_all,ASD,False,1140,116,22,25.0,0.7962407135406688,0.8736326526476695,0.8211788211788211,0.964616778570267
LOO-brain,gene_driven_all,Educational attainment,False,1140,822,181,180.0,0.9416768850040027,0.7625224786454134,0.4775224775224775,0.8963344347959732
LOO-brain,gene_driven_all,Intelligence,False,1140,180,32,40.0,0.7278392100223404,0.9639804750919391,0.9400599400599401,0.9809321113668941
LOO-brain,gene_driven_all,Major depression,False,1140,154,27,34.0,0.7181471600764239,0.9599709977895204,0.9270729270729271,0.9809321113668941
LOO-brain,gene_driven_all,Bipolar disorder,False,1140,115,21,25.0,0.7601726016196763,0.9084644668892545,0.8551448551448552,0.964616778570267
LOO-brain,gene_driven_all,Neuroticism,False,1140,122,27,26.0,0.9670582592974842,0.618486663494915,0.46553446553446554,0.8963344347959732
LOO-brain,gene_driven_all,Cognitive performance,False,1140,149,35,32.0,1.0434350676154756,0.46570306456994215,0.2997002997002997,0.8963344347959732
LOO-brain,gene_driven_all,Height,True,1140,2191,496,491.0,0.9720997419583028,0.6743332784775247,0.3726273726273726,0.8963344347959732
LOO-brain,gene_driven_all,LDL cholesterol,True,1140,256,62,58.0,1.08467916379147,0.3294057411040535,0.3166833166833167,0.8963344347959732
LOO-brain,gene_driven_all,Crohn disease,True,1140,95,27,21.0,1.3579690526681503,0.123255826101727,0.09490509490509491,0.8963344347959732
LOO-brain,gene_driven_all,Type 2 diabetes,True,1140,561,127,124.0,0.9845537487872297,0.5848487770556021,0.3916083916083916,0.8963344347959732
LOO-brain,dual_driven,Schizophrenia,False,24,257,2,2.0,2.0419656447053707,0.3542093291784573,0.6413586413586414,0.9209613915496269
LOO-brain,dual_driven,ASD,False,24,116,2,1.0,4.693352741387676,0.10676498497022127,0.21578421578421578,0.8963344347959732
LOO-brain,dual_driven,Educational attainment,False,24,822,8,6.0,2.616236025075804,0.03351565813964584,0.2937062937062937,0.8963344347959732
LOO-brain,dual_driven,Intelligence,False,24,180,2,1.0,2.9707438530967942,0.2149298266540773,0.3646353646353646,0.8963344347959732
LOO-brain,dual_driven,Major depression,False,24,154,2,1.0,3.4961748633879783,0.1691757573179177,0.41858141858141856,0.8963344347959732
LOO-brain,dual_driven,Bipolar disorder,False,24,115,1,1.0,2.696181362073771,0.43034139151729955,0.6723276723276723,0.9220493791922363
LOO-brain,dual_driven,Neuroticism,False,24,122,1,1.0,2.537168374047807,0.4497597004265508,0.7032967032967034,0.9377289377289377
LOO-brain,dual_driven,Cognitive performance,False,24,149,1,1.0,2.064259617451107,0.5188834288374135,0.7712287712287712,0.964616778570267
LOO-brain,dual_driven,Height,True,24,2191,15,14.0,2.0798602294848076,0.05317050058883809,0.3626373626373626,0.8963344347959732
LOO-brain,dual_driven,LDL cholesterol,True,24,256,1,1.0,1.173044093766915,0.7194954534214659,0.7842157842157842,0.964616778570267
LOO-brain,dual_driven,Crohn disease,True,24,95,0,0.0,1.037610855860669,1.0,1.0,1.0
LOO-brain,dual_driven,Type 2 diabetes,True,24,561,4,4.0,1.7299135951000766,0.2829140248215291,0.6203796203796204,0.9209613915496269
LOO-tau,regulation_driven,Schizophrenia,False,148,257,18,15.5,2.7153872611363075,0.0005411089423392707,0.2757242757242757,0.9198074652620107
LOO-tau,regulation_driven,ASD,False,148,116,8,7.0,2.6309756137560063,0.021534193162927255,0.35264735264735264,0.9198074652620107
LOO-tau,regulation_driven,Educational attainment,False,148,822,58,48.0,3.4349717614155786,1.7601318660874937e-11,0.03596403596403597,0.8471528471528472
LOO-tau,regulation_driven,Intelligence,False,148,180,11,9.0,2.2981496379726467,0.01764131928244762,0.25374625374625376,0.9198074652620107
LOO-tau,regulation_driven,Major depression,False,148,154,12,10.0,3.0104106419895893,0.0019421070088960712,0.2967032967032967,0.9198074652620107
LOO-tau,regulation_driven,Bipolar disorder,False,148,115,6,7.0,1.9651526075462629,0.12675333617261314,0.8031968031968032,0.9567018347506152
LOO-tau,regulation_driven,Neuroticism,False,148,122,11,8.0,3.5371055849979616,0.0009163091340642841,0.21678321678321677,0.9198074652620107
LOO-tau,regulation_driven,Cognitive performance,False,148,149,12,11.0,3.1232101232101233,0.0014627532076389252,0.4205794205794206,0.9198074652620107
LOO-tau,regulation_driven,Height,True,148,2191,95,93.0,2.324860526333386,4.448267203259836e-07,0.4015984015984016,0.9198074652620107
LOO-tau,regulation_driven,LDL cholesterol,True,148,256,15,9.0,2.2045502128550494,0.008638975730330867,0.04095904095904096,0.8471528471528472
LOO-tau,regulation_driven,Crohn disease,True,148,95,1,4.0,0.5092816787732042,0.9448387260958372,0.987012987012987,1.0
LOO-tau,regulation_driven,Type 2 diabetes,True,148,561,33,30.0,2.3590370525091435,7.375360084873312e-05,0.25874125874125875,0.9198074652620107
LOO-tau,gene_driven_strict,Schizophrenia,False,1339,257,64,67.0,0.8996471971775775,0.7932117841424999,0.6833166833166833,0.9253449253449254
LOO-tau,gene_driven_strict,ASD,False,1339,116,31,30.0,0.9996782173239748,0.5551319565603227,0.4995004995004995,0.9198074652620107
LOO-tau,gene_driven_strict,Educational attainment,False,1339,822,213,217.0,0.9410954021017278,0.7745642418137426,0.6323676323676324,0.9198074652620107
LOO-tau,gene_driven_strict,Intelligence,False,1339,180,46,48.0,0.9358761206662423,0.6902804715832075,0.6693306693306693,0.9253449253449254
LOO-tau,gene_driven_strict,Major depression,False,1339,154,30,40.0,0.656927825850941,0.9883584837507049,0.98001998001998,1.0
LOO-tau,gene_driven_strict,Bipolar disorder,False,1339,115,26,30.0,0.7994526117903252,0.8784753113117512,0.8171828171828172,0.9567018347506152
LOO-tau,gene_driven_strict,Neuroticism,False,1339,122,31,32.0,0.9325469659289513,0.6815867541082479,0.5944055944055944,0.9198074652620107
LOO-tau,gene_driven_strict,Cognitive performance,False,1339,149,41,39.0,1.0390667004998677,0.4655414123651931,0.34065934065934067,0.9198074652620107
LOO-tau,gene_driven_strict,Height,True,1339,2191,582,587.0,0.9682085636336234,0.7037137438347076,0.6323676323676324,0.9198074652620107
LOO-tau,gene_driven_strict,LDL cholesterol,True,1339,256,75,69.0,1.13641428846864,0.20854573070994478,0.25674325674325676,0.9198074652620107
LOO-tau,gene_driven_strict,Crohn disease,True,1339,95,31,25.0,1.332992686459731,0.12590727067799465,0.11288711288711288,0.9198074652620107
LOO-tau,gene_driven_strict,Type 2 diabetes,True,1339,561,157,149.0,1.0640573673028326,0.2884880058508789,0.21878121878121878,0.9198074652620107
LOO-tau,gene_driven_all,Schizophrenia,False,1405,257,67,70.0,0.8946287858955995,0.8064304105211605,0.7082917082917083,0.9253449253449254
LOO-tau,gene_driven_all,ASD,False,1405,116,32,32.0,0.9760297947411162,0.5989229237317175,0.5264735264735265,0.9198074652620107
LOO-tau,gene_driven_all,Educational attainment,False,1405,822,228,227.0,0.9712552609822167,0.6532631923184223,0.4645354645354645,0.9198074652620107
LOO-tau,gene_driven_all,Intelligence,False,1405,180,49,50.0,0.9541764129616731,0.6500916335440889,0.6033966033966034,0.9198074652620107
LOO-tau,gene_driven_all,Major depression,False,1405,154,34,42.0,0.7200992946209362,0.9679608757384204,0.938061938061938,1.0
LOO-tau,gene_driven_all,Bipolar disorder,False,1405,115,27,31.0,0.7847820340212587,0.8968301968292738,0.8451548451548452,0.9658912516055373
LOO-tau,gene_driven_all,Neuroticism,False,1405,122,32,33.0,0.9097518739679852,0.7236296999133465,0.6143856143856143,0.9198074652620107
LOO-tau,gene_driven_all,Cognitive performance,False,1405,149,42,40.0,1.0039569848457714,0.5382561649012336,0.41058941058941056,0.9198074652620107
LOO-tau,gene_driven_all,Height,True,1405,2191,607,617.0,0.9533426215492009,0.7839971966785324,0.7532467532467533,0.9514695830485305
LOO-tau,gene_driven_all,LDL cholesterol,True,1405,256,81,73.0,1.190157227529821,0.12218216059438992,0.15284715284715283,0.9198074652620107
LOO-tau,gene_driven_all,Crohn disease,True,1405,95,34,27.0,1.435058641508763,0.06484301262569478,0.052947052947052944,0.8471528471528472
LOO-tau,gene_driven_all,Type 2 diabetes,True,1405,561,164,156.0,1.057508035775348,0.3066265710492632,0.22977022977022976,0.9198074652620107
LOO-tau,dual_driven,Schizophrenia,False,9,257,1,1.0,3.240110079119367,0.3798890501430835,0.5784215784215784,0.9198074652620107
LOO-tau,dual_driven,ASD,False,9,116,1,0.0,7.41100076394194,0.19148063943939606,0.3126873126873127,0.9198074652620107
LOO-tau,dual_driven,Educational attainment,False,9,822,2,2.0,1.6841356896201503,0.4527291399744612,0.7812187812187812,0.9567018347506152
LOO-tau,dual_driven,Intelligence,False,9,180,0,0.0,1.3953929144190116,1.0,1.0,1.0
LOO-tau,dual_driven,Major depression,False,9,154,1,0.0,5.532669093696111,0.2466951364407425,0.4675324675324675,0.9198074652620107
LOO-tau,dual_driven,Bipolar disorder,False,9,115,1,0.0,7.477266889288466,0.18998029423423196,0.3596403596403596,0.9198074652620107
LOO-tau,dual_driven,Neuroticism,False,9,122,1,0.0,7.036310820624546,0.20043095000943598,0.3966033966033966,0.9198074652620107
LOO-tau,dual_driven,Cognitive performance,False,9,149,0,0.0,1.6956521739130435,1.0,1.0,1.0
LOO-tau,dual_driven,Height,True,9,2191,5,5.0,1.553700739385624,0.35617058216386477,0.7132867132867133,0.9253449253449254
LOO-tau,dual_driven,LDL cholesterol,True,9,256,1,0.0,3.25348221480373,0.3787038731312523,0.42657342657342656,0.9198074652620107
LOO-tau,dual_driven,Crohn disease,True,9,95,0,0.0,2.6842105263157894,1.0,1.0,1.0
LOO-tau,dual_driven,Type 2 diabetes,True,9,561,2,2.0,2.6252606493893356,0.26966362211496153,0.5054945054945055,0.9198074652620107
joint-LOO-brain-tau,regulation_driven,Schizophrenia,False,403,257,46,35.0,2.681654515697069,1.3396090432312167e-07,0.01998001998001998,0.3196803196803197
joint-LOO-brain-tau,regulation_driven,ASD,False,403,116,15,15.0,1.757238589750905,0.04622867046230859,0.5104895104895105,0.8455544455544455
joint-LOO-brain-tau,regulation_driven,Educational attainment,False,403,822,133,110.0,2.779016914665319,1.3408895060453697e-17,0.005994005994005994,0.28771228771228774
joint-LOO-brain-tau,regulation_driven,Intelligence,False,403,180,21,20.0,1.5550023562193949,0.0552401927738485,0.47152847152847155,0.8455544455544455
joint-LOO-brain-tau,regulation_driven,Major depression,False,403,154,23,22.0,2.0855438361571474,0.0027831016841885848,0.4515484515484515,0.8455544455544455
joint-LOO-brain-tau,regulation_driven,Bipolar disorder,False,403,115,23,17.0,2.990893916255283,3.509457665739858e-05,0.04795204795204795,0.5634365634365635
joint-LOO-brain-tau,regulation_driven,Neuroticism,False,403,122,21,19.0,2.475694645674362,0.0006762042241506088,0.3176823176823177,0.8025658551974342
joint-LOO-brain-tau,regulation_driven,Cognitive performance,False,403,149,27,24.0,2.65303412201534,4.744533195037792e-05,0.27372627372627373,0.7728741846388905
joint-LOO-brain-tau,regulation_driven,Height,True,403,2191,259,238.0,2.452853887921503,1.3508411781285112e-17,0.015984015984015984,0.3196803196803197
joint-LOO-brain-tau,regulation_driven,LDL cholesterol,True,403,256,29,24.0,1.504279698939245,0.038589130920036824,0.2037962037962038,0.7524782909398294
joint-LOO-brain-tau,regulation_driven,Crohn disease,True,403,95,6,10.0,0.8189803590878746,0.7936184500320773,0.954045954045954,0.9965686487425617
joint-LOO-brain-tau,regulation_driven,Type 2 diabetes,True,403,561,81,71.0,2.1518750655405787,4.9711448422319866e-08,0.07092907092907093,0.5634365634365635
joint-LOO-brain-tau,gene_driven_strict,Schizophrenia,False,1207,257,55,60.0,0.8479055194022657,0.8809923990491576,0.7902097902097902,0.925123656830974
