library,term,K_universe,k_obs,p_hyper_production,p_bh_production,OR_obs,OR_null_median,p_perm_lengthmatched,OR_logistic_adj,p_logistic,p_bh_logistic,OR_cmh,p_cmh,survives_both
GO_BP,Purine Ribonucleotide Biosynthetic Process (GO:0009152),19,8,5.63396716725322e-06,0.014124355688303824,12.09144902154877,2.285959323695173,0.000999000999000999,11.131429270663757,1.0184311449122485e-05,0.00018331760608420472,,,True
GO_BP,Protein Phosphorylation (GO:0006468),137,22,1.2596894409451652e-05,0.015790207142247645,3.2765300997345195,1.4659694288012872,0.000999000999000999,2.684618321383153,0.00014546790262280707,0.0004061150813239563,,,True
GO_BP,Axon Guidance (GO:0007411),42,11,2.0322596405750828e-05,0.016982916396405773,6.009917123191459,1.874772895498284,0.000999000999000999,4.725179798719837,9.349155812133858e-05,0.00033924035741670375,,,True
GO_BP,Monoatomic Cation Transmembrane Transport (GO:0098655),91,16,6.468375067207787e-05,0.022208591424928134,3.6278145695364237,1.63961743762912,0.002997002997002997,2.4576477161708636,0.0031409793707185417,0.0035336017920583594,,,True
GO_BP,Neuron Projection Guidance (GO:0097485),38,10,4.659432627097756e-05,0.022208591424928134,6.0474333983105915,1.5769557101646021,0.001998001998001998,4.839603025535068,0.00015793364273709412,0.0004061150813239563,,,True
GO_BP,Phospholipid Transport (GO:0015914),14,6,7.97276915932801e-05,0.022208591424928134,12.43079283887468,3.2037735849056603,0.002997002997002997,10.575299067320417,0.00018533264969724996,0.0004169984618188124,,,True
GO_BP,Phosphorylation (GO:0016310),118,19,4.805717718649325e-05,0.022208591424928134,3.2716863003542302,1.7322658983329904,0.005994005994005994,2.3422310882804687,0.002153060409159196,0.002768220526061824,,,True
GO_BP,Protein Modification Process (GO:0036211),194,26,5.571389347385227e-05,0.022208591424928134,2.653601042735517,1.3960332661542385,0.005994005994005994,2.027914714190594,0.002560522364553106,0.003072626837463727,,,True
GO_BP,Regulation Of Focal Adhesion Assembly (GO:0051893),14,6,7.97276915932801e-05,0.022208591424928134,12.43079283887468,1.77340930674264,0.000999000999000999,12.180802529502042,8.652354242021298e-05,0.00033924035741670375,20.226244343891402,6.161172572127782e-09,True
GO_BP,Positive Regulation Of Synaptic Transmission (GO:0050806),15,6,0.0001263497732242169,0.028796261952101068,11.119908466819222,1.6507515473032714,0.000999000999000999,14.64594971058996,2.1235927155373413e-05,0.0001911233443983607,,,True
GO_BP,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),86,15,0.0001204348590409476,0.028796261952101068,3.58879361213293,1.5155257005499028,0.004995004995004995,2.4514136891584704,0.004256297898249524,0.0045066683628524375,,,True
GO_BP,Cyclic Nucleotide Biosynthetic Process (GO:0009190),6,4,0.00016106350222200706,0.031060476928505516,29.09533678756477,4.360372960372961,0.000999000999000999,26.922679746147868,0.001066968672491013,0.0015867100469198839,24.758620689655174,1.3875398331530953e-05,True
GO_BP,Regulation Of Cell-Substrate Junction Assembly (GO:0090109),6,4,0.00016106350222200706,0.031060476928505516,29.09533678756477,4.360372960372961,0.001998001998001998,26.241343336312216,0.001145957256108805,0.0015867100469198839,25.36051502145923,1.4007251699643675e-06,True
GO_BP,Peptidyl-Tyrosine Modification (GO:0018212),16,6,0.0001922355461763456,0.03442389387600703,10.058716356107661,1.5439205955334987,0.001998001998001998,10.730253201974413,9.423343261575105e-05,0.00033924035741670375,,,True
GO_BP,Ephrin Receptor Signaling Pathway (GO:0048013),11,5,0.00023597041503044844,0.03943852203208895,13.712971603786162,2.2815628815628815,0.002997002997002997,13.9844380322903,0.00023439143621183708,0.00046878287242367415,34.48826291079812,4.74050404486448e-08,True
GO_BP,Cellular Response To Organic Cyclic Compound (GO:0071407),46,10,0.00026369417237554084,0.041317580634092556,4.713850837138509,1.696860713197196,0.006993006993006993,3.773615864555944,0.0008950500732769315,0.0014646273926349788,,,True
GO_BP,Axonogenesis (GO:0007409),55,11,0.0002853705752618729,0.042083766598912664,4.242318782937257,1.7484256224582597,0.003996003996003996,3.568949584615869,0.0007216160782762923,0.001298908940897326,,,True
GO_BP,Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287),7,4,0.000358397946882189,0.04991686960186933,20.777942264988898,3.688757396449704,0.006993006993006993,9.81030119539433,0.007686929765161067,0.007686929765161067,12.064908722109534,2.866122407618743e-05,True
SynGO,Synapse Adhesion Between Pre- And Post-Synapse (GO:0099560) BP,9,6,2.8713214976429474e-06,0.00021247779082557812,30.22136645962733,2.819607843137255,0.000999000999000999,14.49747324803231,0.0006849912492134279,0.0037674518706738535,19.348314606741575,3.245759823133909e-07,True
SynGO,Integral Component Of Postsynaptic Membrane (GO:0099055) CC,31,10,6.326239524848134e-06,0.00023407086241938099,8.02842377260982,1.9672373705347708,0.001998001998001998,4.407931201998096,0.0005839044591169454,0.0037674518706738535,5.21961774251713,9.94926340225355e-06,True
SynGO,Integral Component Of Presynaptic Active Zone Membrane (GO:0099059) CC,12,6,2.7136875471134866e-05,0.0006693762616213267,16.262608695652172,3.8156497590459852,0.004995004995004995,7.074859638619245,0.0024348362993278517,0.007016340729318859,8.97950819672131,1.0307606871262642e-05,True
SynGO,Integral Component Of Postsynaptic Density Membrane (GO:0099061) CC,26,8,8.094664972565603e-05,0.0014975130199246366,7.505040942869314,2.3883619584721867,0.00999000999000999,4.199931680624301,0.0025513966288432215,0.007016340729318859,,,True
SynGO,Postsynapse (GO:0098794) CC,61,11,0.0007265027829365882,0.010752241187461506,3.733444317883116,1.5607275962025122,0.015984015984015984,2.5091703100656613,0.011969304941677602,0.026332470871690727,,,True
SynGO,Regulation Of Postsynapse Assembly (GO:0150052) BP,16,5,0.0017465408262742875,0.019571256668640534,7.742521287016803,2.7606908381143906,0.055944055944055944,3.8004940263096336,0.02567206687398798,0.03831288384115969,,,False
SynGO,Regulation Of Postsynaptic Membrane Potential (GO:0060078) BP,5,3,0.0018513350902768073,0.019571256668640534,22.551807228915663,5.330484330484331,0.06293706293706294,6.402837104341211,0.05835401367795881,0.06418941504575469,9.873853211009175,0.002111584703132219,False
SynGO,Modulation Of Chemical Synaptic Transmission (GO:0050804) BP,25,6,0.002709256424498346,0.0250606219266097,5.405797101449275,2.495046854082999,0.06393606393606394,2.4768805433048504,0.07601687893209733,0.07601687893209733,,,False
SynGO,Ligand-Gated IC Activity Involved In Regulation Of Presynaptic Membrane Potential (GO:0099507) BP,6,3,0.003541606678331607,0.029119877132948765,16.10499139414802,4.360372960372961,0.04795204795204795,8.757749541562003,0.01924344752513047,0.03527965379607253,9.869757174392937,0.000636618999233618,True
SynGO,Integral Component Of Presynaptic Membrane (GO:0099056) CC,36,7,0.004355635549227033,0.03223170306428004,4.128582837873813,1.671821614817479,0.030969030969030968,2.765934994676088,0.02786391552084341,0.03831288384115969,,,True
SynGO,Integral Component Of Postsynaptic Specialization Membrane (GO:0099060) CC,13,4,0.005518496824962466,0.03712443318611113,7.64521407144805,3.4831083600566783,0.07392607392607392,4.161891927573119,0.03332690890545038,0.04073288866221712,,,False
