test,class,table,k,class_n,OR,p,CI95
HAR,RD_spanresid,"[[141, 335], [1534, 2964]]",141,1675,0.8132557551226917,0.979018408191305,"[0.661732922864518, 0.9994741086436622]"
hCONDEL,RD_spanresid,"[[39, 73], [1636, 3226]]",39,1675,1.0534715477107546,0.4330216926575819,"[0.7109322907878642, 1.5610520385931486]"
HAR,RD_v7_reference,"[[81, 395], [212, 4286]]",81,293,4.145760687843325,3.348880227113217e-20,"[3.1459081087930665, 5.463392790408333]"
hCONDEL,RD_v7_reference,"[[18, 94], [275, 4587]]",18,293,3.1940425531914896,7.809426913882364e-05,"[1.9013250700096949, 5.365683118850367]"
