classification,trait,is_control,class,K_universe,n_class,k_overlap,expected,OR,p,q_bh
LOO-brain,ASD,False,regulation_driven,116,613,21,14.3,1.593,0.04328409889772824,0.18887606791735959
LOO-brain,Height,True,dual_driven,2191,24,15,10.6,2.125,0.05317050058883809,0.21268200235535237
LOO-brain,ASD,False,dual_driven,116,24,2,0.6,3.856,0.10676498497022127,0.3942091752746632
LOO-brain,Crohn disease,True,gene_driven_all,95,1140,27,21.8,1.344,0.123255826101727,0.42259140377734966
LOO-brain,Major depression,False,dual_driven,154,24,2,0.7,2.87,0.1691757573179177,0.5413624234173366
LOO-brain,Crohn disease,True,gene_driven,95,1099,25,21.0,1.265,0.18893028705026785,0.5667908611508036
LOO-brain,Intelligence,False,dual_driven,180,24,2,0.9,2.437,0.2149298266540773,0.5803262326126016
LOO-brain,LDL cholesterol,True,regulation_driven,256,613,36,31.5,1.174,0.2176223372297256,0.5803262326126016
LOO-brain,Type 2 diabetes,True,dual_driven,561,24,4,2.7,1.577,0.2829140248215291,0.7147301679701787
LOO-brain,LDL cholesterol,True,gene_driven_all,256,1140,62,58.7,1.079,0.3294057411040535,0.7905737786497284
LOO-brain,Schizophrenia,False,dual_driven,257,24,2,1.2,1.674,0.3542093291784573,0.8096213238364738
LOO-brain,Bipolar disorder,False,dual_driven,115,24,1,0.6,1.844,0.43034139151729955,0.889514449435566
LOO-brain,Cognitive performance,False,gene_driven,149,1099,34,32.9,1.044,0.44698695719290016,0.889514449435566
LOO-brain,Neuroticism,False,dual_driven,122,24,1,0.6,1.735,0.4497597004265508,0.889514449435566
LOO-brain,Cognitive performance,False,gene_driven_all,149,1140,35,34.1,1.034,0.46570306456994215,0.889514449435566
LOO-brain,LDL cholesterol,True,gene_driven,256,1099,57,56.6,1.01,0.49871880082816544,0.889514449435566
LOO-brain,Crohn disease,True,regulation_driven,95,613,12,11.7,1.029,0.510775790118126,0.889514449435566
LOO-brain,Cognitive performance,False,dual_driven,149,24,1,0.7,1.411,0.5188834288374135,0.889514449435566
LOO-brain,Type 2 diabetes,True,gene_driven_all,561,1140,127,128.6,0.982,0.5848487770556021,0.9289903132028503
LOO-brain,Type 2 diabetes,True,gene_driven,561,1099,122,124.0,0.977,0.6016615315246735,0.9289903132028503
LOO-brain,Neuroticism,False,gene_driven_all,122,1140,27,28.0,0.955,0.618486663494915,0.9289903132028503
LOO-brain,Neuroticism,False,gene_driven,122,1099,26,27.0,0.954,0.6193268754685669,0.9289903132028503
LOO-brain,Height,True,gene_driven,2191,1099,479,484.1,0.976,0.6498007477077256,0.9451647239385099
LOO-brain,Height,True,gene_driven_all,2191,1140,496,502.2,0.972,0.6743332784775247,0.9519999225565056
LOO-brain,LDL cholesterol,True,dual_driven,256,24,1,1.2,0.801,0.7194954534214659,0.9867366218351533
LOO-brain,Schizophrenia,False,gene_driven_all,257,1140,55,58.9,0.911,0.7466478073963607,0.9892183506751309
LOO-brain,Educational attainment,False,gene_driven_all,822,1140,181,188.4,0.94,0.7625224786454134,0.9892183506751309
LOO-brain,Schizophrenia,False,gene_driven,257,1099,52,56.8,0.889,0.7914460382920909,0.9997213115268517
LOO-brain,ASD,False,gene_driven,116,1099,22,25.6,0.822,0.8245916944123781,1.0
LOO-brain,Educational attainment,False,gene_driven,822,1099,171,181.6,0.913,0.8469728849957031,1.0
LOO-brain,ASD,False,gene_driven_all,116,1140,22,26.6,0.783,0.8736326526476695,1.0
LOO-brain,Bipolar disorder,False,gene_driven_all,115,1140,21,26.4,0.747,0.9084644668892545,1.0
LOO-brain,Bipolar disorder,False,gene_driven,115,1099,20,25.4,0.738,0.9135626455855967,1.0
LOO-brain,Intelligence,False,gene_driven,180,1099,32,39.8,0.755,0.9378391482976921,1.0
LOO-brain,Major depression,False,gene_driven_all,154,1140,27,35.3,0.708,0.9599709977895204,1.0
LOO-brain,Intelligence,False,gene_driven_all,180,1140,32,41.3,0.719,0.9639804750919391,1.0
LOO-brain,Major depression,False,gene_driven,154,1099,23,34.0,0.611,0.9909173029231395,1.0
LOO-brain,Crohn disease,True,dual_driven,95,24,0,0.5,0.0,1.0,1.0
LOO-tau,Educational attainment,False,regulation_driven,822,148,58,24.5,3.426,1.7601318660874937e-11,8.44863295721997e-10
LOO-tau,Height,True,regulation_driven,2191,148,95,65.2,2.335,4.448267203259836e-07,1.0675841287823607e-05
LOO-tau,Type 2 diabetes,True,regulation_driven,561,148,33,16.7,2.336,7.375360084873312e-05,0.00118005761357973
LOO-tau,Schizophrenia,False,regulation_driven,257,148,18,7.6,2.657,0.0005411089423392707,0.006493307308071249
LOO-tau,Neuroticism,False,regulation_driven,122,148,11,3.6,3.411,0.0009163091340642841,0.008796567687017127
LOO-tau,Cognitive performance,False,regulation_driven,149,148,12,4.4,3.02,0.0014627532076389252,0.011702025661111401
LOO-tau,Major depression,False,regulation_driven,154,148,12,4.6,2.911,0.0019421070088960712,0.013317305203858773
LOO-tau,LDL cholesterol,True,regulation_driven,256,148,15,7.6,2.146,0.008638975730330867,0.051833854381985206
LOO-tau,Intelligence,False,regulation_driven,180,148,11,5.4,2.213,0.01764131928244762,0.09408703617305397
LOO-tau,ASD,False,regulation_driven,116,148,8,3.5,2.496,0.021534193162927255,0.10336412718205082
LOO-tau,Crohn disease,True,gene_driven_all,95,1405,34,26.8,1.426,0.06484301262569478,0.28295132782121357
LOO-tau,LDL cholesterol,True,gene_driven_all,256,1405,81,72.3,1.187,0.12218216059438992,0.4345828668775308
LOO-tau,Crohn disease,True,gene_driven,95,1339,31,25.6,1.322,0.12590727067799465,0.4345828668775308
LOO-tau,Bipolar disorder,False,regulation_driven,115,148,6,3.4,1.829,0.12675333617261314,0.4345828668775308
LOO-tau,Bipolar disorder,False,dual_driven,115,9,1,0.2,5.319,0.18998029423423196,0.5561219485598528
LOO-tau,ASD,False,dual_driven,116,9,1,0.2,5.272,0.19148063943939606,0.5561219485598528
LOO-tau,Neuroticism,False,dual_driven,122,9,1,0.2,5.004,0.20043095000943598,0.5561219485598528
LOO-tau,LDL cholesterol,True,gene_driven,256,1339,75,68.9,1.132,0.20854573070994478,0.5561219485598528
LOO-tau,Major depression,False,dual_driven,154,9,1,0.3,3.931,0.2466951364407425,0.6232298183766126
LOO-tau,Type 2 diabetes,True,dual_driven,561,9,2,1.0,2.252,0.26966362211496153,0.6471926930759077
LOO-tau,Type 2 diabetes,True,gene_driven,561,1339,157,151.0,1.062,0.2884880058508789,0.6594011562305804
LOO-tau,Type 2 diabetes,True,gene_driven_all,561,1405,164,158.5,1.056,0.3066265710492632,0.669003427743847
LOO-tau,Height,True,dual_driven,2191,9,5,4.0,1.589,0.35617058216386477,0.7293869762747204
LOO-tau,LDL cholesterol,True,dual_driven,256,9,1,0.5,2.309,0.3787038731312523,0.7293869762747204
LOO-tau,Schizophrenia,False,dual_driven,257,9,1,0.5,2.299,0.3798890501430835,0.7293869762747204
LOO-tau,Educational attainment,False,dual_driven,822,9,2,1.5,1.444,0.4527291399744612,0.827629177538121
LOO-tau,Cognitive performance,False,gene_driven,149,1339,41,40.1,1.032,0.4655414123651931,0.827629177538121
LOO-tau,Cognitive performance,False,gene_driven_all,149,1405,42,42.1,0.997,0.5382561649012336,0.9188391005136375
LOO-tau,ASD,False,gene_driven,116,1339,31,31.2,0.99,0.5551319565603227,0.9188391005136375
LOO-tau,ASD,False,gene_driven_all,116,1405,32,32.8,0.967,0.5989229237317175,0.958276677970748
LOO-tau,Intelligence,False,gene_driven_all,180,1405,49,50.8,0.948,0.6500916335440889,0.9648395998844619
LOO-tau,Educational attainment,False,gene_driven_all,822,1405,228,232.2,0.97,0.6532631923184223,0.9648395998844619
LOO-tau,Neuroticism,False,gene_driven,122,1339,31,32.8,0.923,0.6815867541082479,0.9648395998844619
LOO-tau,Intelligence,False,gene_driven,180,1339,46,48.5,0.929,0.6902804715832075,0.9648395998844619
LOO-tau,Height,True,gene_driven,2191,1339,582,589.8,0.968,0.7037137438347076,0.9648395998844619
LOO-tau,Neuroticism,False,gene_driven_all,122,1405,32,34.5,0.901,0.7236296999133465,0.9648395998844619
LOO-tau,Educational attainment,False,gene_driven,822,1339,213,221.3,0.94,0.7745642418137426,0.9677164926253926
LOO-tau,Height,True,gene_driven_all,2191,1405,607,618.9,0.953,0.7839971966785324,0.9677164926253926
LOO-tau,Schizophrenia,False,gene_driven,257,1339,64,69.2,0.895,0.7932117841424999,0.9677164926253926
LOO-tau,Schizophrenia,False,gene_driven_all,257,1405,67,72.6,0.891,0.8064304105211605,0.9677164926253926
LOO-tau,Bipolar disorder,False,gene_driven,115,1339,26,31.0,0.789,0.8784753113117512,1.0
LOO-tau,Bipolar disorder,False,gene_driven_all,115,1405,27,32.5,0.775,0.8968301968292738,1.0
LOO-tau,Crohn disease,True,regulation_driven,95,148,1,2.8,0.342,0.9448387260958372,1.0
LOO-tau,Major depression,False,gene_driven_all,154,1405,34,43.5,0.713,0.9679608757384204,1.0
LOO-tau,Major depression,False,gene_driven,154,1339,30,41.5,0.649,0.9883584837507049,1.0
LOO-tau,Intelligence,False,dual_driven,180,9,0,0.3,0.0,1.0,1.0
LOO-tau,Cognitive performance,False,dual_driven,149,9,0,0.3,0.0,1.0,1.0
LOO-tau,Crohn disease,True,dual_driven,95,9,0,0.2,0.0,1.0,1.0
