classification,trait,is_control,class,n_trait_universe,n_class,k_overlap,OR,CI_lo,CI_hi,p_two_sided,q_bh
LOO-brain,Intelligence,False,regulation_driven,180,613,33,1.6310344827586207,1.1071755026255596,2.402756814650523,0.020078549545882618,0.08031419818353047
LOO-brain,Intelligence,False,gene_driven_strict,180,1099,32,0.7552369614225284,0.5123001047274861,1.1133764421191055,0.170089072472341,0.43737190064316256
LOO-brain,Intelligence,False,gene_driven_all,180,1140,32,0.7192896867987121,0.48799253582894203,1.060216326170095,0.1038412614002586,0.3115237842007758
LOO-brain,Major depression,False,regulation_driven,154,613,38,2.418440779610195,1.6595762269098921,3.5243068137774274,1.625951894560587e-05,8.362038314883018e-05
LOO-brain,Major depression,False,gene_driven_strict,154,1099,23,0.6109140440988677,0.39020977100702053,0.9564495740690167,0.029718307870812463,0.10698590833492487
LOO-brain,Major depression,False,gene_driven_all,154,1140,27,0.7080883757454847,0.46490525057209875,1.0784759846202723,0.11895947844624583,0.32942624800498843
LOO-brain,Bipolar disorder,False,regulation_driven,115,613,32,2.838811355577214,1.8709361828144713,4.307388988774122,4.8804388257779265e-06,4.392394943200134e-05
LOO-brain,Bipolar disorder,False,gene_driven_strict,115,1099,20,0.7375249987805473,0.45321945380689044,1.200176027876358,0.255453859583194,0.5548726095028984
LOO-brain,Bipolar disorder,False,gene_driven_all,115,1140,21,0.7466773144715076,0.4630642240883285,1.2039950031640443,0.26202317670970204,0.5548726095028984
LOO-brain,Neuroticism,False,regulation_driven,122,613,33,2.731034482758621,1.8146691923710465,4.110142706655701,8.09706730850066e-06,5.8298884621204756e-05
LOO-brain,Neuroticism,False,gene_driven_strict,122,1099,26,0.9538482447965206,0.6151755015247463,1.4789705894437413,0.9121991067075553,0.9384152421809061
LOO-brain,Neuroticism,False,gene_driven_all,122,1140,27,0.9547737267697546,0.6194364330434361,1.4716487773425546,0.9133142441755644,0.9384152421809061
LOO-brain,Cognitive performance,False,regulation_driven,149,613,38,2.5303564433999215,1.7329501530241238,3.694684304382511,1.0322246480864016e-05,6.193347888518409e-05
LOO-brain,Cognitive performance,False,gene_driven_strict,149,1099,34,1.0438048581343131,0.707694121044331,1.5395473121311176,0.8411225101456654,0.9384152421809061
LOO-brain,Cognitive performance,False,gene_driven_all,149,1140,35,1.0335794236723028,0.7035351171010016,1.5184550125099205,0.8435544016572907,0.9384152421809061
LOO-brain,Height,True,regulation_driven,2191,613,354,1.877948560583291,1.5825134218825145,2.228537684060588,4.1683205253406016e-13,7.502976945613083e-12
LOO-brain,Height,True,gene_driven_strict,2191,1099,479,0.9761051025022611,0.8528033535225665,1.1172343157369369,0.7308180487027762,0.9384152421809061
LOO-brain,Height,True,gene_driven_all,2191,1140,496,0.9719342604298357,0.850626847686601,1.110541254565873,0.6835911171399331,0.9114548228532442
LOO-brain,LDL cholesterol,True,regulation_driven,256,613,36,1.1743815976051677,0.8168957065761401,1.6883087102687793,0.3797277760511333,0.6509619018019428
LOO-brain,LDL cholesterol,True,gene_driven_strict,256,1099,57,1.0104842832203242,0.7468066983965972,1.3672594110732537,0.9384152421809062,0.9384152421809061
LOO-brain,LDL cholesterol,True,gene_driven_all,256,1140,62,1.0791270585085018,0.8043213918329795,1.4478232460675715,0.593868910767499,0.8226037655347125
