term,K,k,p,OR,p_bh
Postsynaptic Actin Cytoskeleton Organization (GO:0098974) BP,8,2,0.8106706335516327,0.7569350279239733,1.0
Regulation Of Synaptic Vesicle Exocytosis (GO:2000300) BP,12,3,0.8256324415337124,0.7248367555660452,1.0
Postsynaptic Modulation Of Chemical Synaptic Transmission (GO:0099170) BP,12,3,0.8256324415337124,0.7248367555660452,1.0
Synaptic Vesicle Proton Loading (GO:0097401) BP,5,1,0.871784944719875,0.656016721409376,1.0
Integral Component Of Synaptic Vesicle Membrane (GO:0030285) CC,25,6,0.8952188415730828,0.6549865229110512,1.0
Postsynaptic Density (GO:0014069) CC,33,8,0.9123942992701669,0.6545727136431784,1.0
Anchored Component Of Synaptic Vesicle Membrane (GO:0098993) CC,6,1,0.9150049522856245,0.5365780830098537,1.0
Regulation Of Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane (GO:0098696) BP,6,1,0.9150049522856245,0.5365780830098537,1.0
Regulation Protein Catabolic Process At Postsynapse (GO:0140252) BP,6,0,1.0,0.1512062989233983,1.0
Regulation Of Synaptic Vesicle Endocytosis (GO:1900242) BP,4,0,1.0,0.21854172883716302,1.0
Regulation Of Presynaptic Cytosolic Calcium Levels (GO:0099509) BP,3,0,1.0,0.2810674851856589,1.0
Regulation Of Modification Of Postsynaptic Structure (GO:0099159) BP,3,0,1.0,0.2810674851856589,1.0
Maintenance Of Postsynaptic Density Structure (GO:0099562) BP,3,0,1.0,0.2810674851856589,1.0
Anchored Component Of Postsynaptic Density Membrane (GO:0099031) CC,5,0,1.0,0.1787526111608475,1.0
Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane (GO:0098967) BP,3,0,1.0,0.2810674851856589,1.0
"Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane (GO:0098887) BP",3,0,1.0,0.2810674851856589,1.0
Synaptic Vesicle To Endosome Fusion (GO:0016189) BP,4,0,1.0,0.21854172883716302,1.0
Synaptic Vesicle Priming (GO:0016082) BP,3,0,1.0,0.2810674851856589,1.0
