metric,brain_mean,brain_n,non_brain_mean,non_brain_n,mannwhitney_u,mannwhitney_p,stouffer_z_brain,stouffer_p_brain,stouffer_z_nonbrain,stouffer_p_nonbrain
GD_OR,1.4964772383950766,2,1.440918321151152,28,44.0,0.11264367816091954,7.251191712260756,2.0661250488274163e-13,25.200200823219514,0.0
RD_OR,0.6685775202985562,2,0.46034099606192275,28,56.0,0.0022988505747126436,-5.340464853555437,0.9999999536457247,-25.451920774779914,1.0
