gene_id,gene_symbol,classification_loo_brain,dev_tau,n_stages
ENSG00000013016,EHD3,regulation-driven,0.3918293833297596,31
ENSG00000013293,SLC7A14,regulation-driven,0.5829234705702946,31
ENSG00000013297,CLDN11,neutral,0.5836363474868647,31
ENSG00000013374,NUB1,gene-driven,0.40286881487167725,31
ENSG00000013392,RWDD2A,neutral,0.5981191555722871,31
ENSG00000013441,CLK1,neutral,0.42195589956412993,31
ENSG00000013561,RNF14,neutral,0.5194322152833168,31
ENSG00000013583,HEBP1,gene-driven,0.8990290296904392,31
ENSG00000013810,TACC3,neutral,0.39557644914892875,31
ENSG00000014123,UFL1,neutral,0.7679757446293263,31
ENSG00000014138,POLA2,gene-driven,0.4373354360421604,31
ENSG00000014164,ZC3H3,gene-driven,0.40098437902367723,31
ENSG00000014257,ACP3,neutral,0.5427395986849731,31
ENSG00000014641,MDH1,gene-driven,0.40619064179605846,31
ENSG00000014824,SLC30A9,neutral,0.7550957535732319,31
ENSG00000014914,MTMR11,neutral,0.3298549004995591,31
ENSG00000014919,COX15,neutral,0.6510714379490041,31
ENSG00000015520,NPC1L1,regulation-driven,0.421255933671838,31
ENSG00000015592,STMN4,neutral,0.4418457120979761,31
ENSG00000016082,ISL1,neutral,0.7037486867998595,31
ENSG00000016391,CHDH,neutral,0.63886444725098,31
ENSG00000016490,CLCA1,regulation-driven,0.6553606763729716,31
ENSG00000016602,CLCA4,neutral,0.3501544292914064,31
ENSG00000016864,GLT8D1,neutral,0.37005649700997545,31
ENSG00000017427,IGF1,gene-driven,0.5941218398926492,31
ENSG00000018280,SLC11A1,regulation-driven,0.5817341864378547,31
ENSG00000018408,WWTR1,neutral,0.45466143464193964,31
ENSG00000018510,AGPS,neutral,0.682240241175611,31
ENSG00000019102,VSIG2,neutral,0.3988411780851143,31
ENSG00000019485,PRDM11,gene-driven,0.5241381099218443,31
ENSG00000019505,SYT13,gene-driven,0.6457995046371273,31
ENSG00000019582,CD74,neutral,0.7803334203790822,31
ENSG00000019995,ZRANB1,neutral,0.7144983961838871,31
ENSG00000020633,RUNX3,gene-driven,0.6792467648627054,31
ENSG00000020922,MRE11,neutral,0.6660814889070749,31
ENSG00000021355,SERPINB1,neutral,0.7165688603616965,31
ENSG00000021852,C8B,gene-driven,0.587320685777555,31
ENSG00000022840,RNF10,regulation-driven,0.27065837859590003,31
ENSG00000023041,ZDHHC6,neutral,0.4585083962751276,31
ENSG00000023318,ERP44,gene-driven,0.4585325350217867,31
ENSG00000023516,AKAP11,neutral,0.6650384576961641,31
ENSG00000023572,GLRX2,neutral,0.5676181183598507,31
ENSG00000023608,SNAPC1,neutral,0.5888681779910464,31
ENSG00000023697,DERA,gene-driven,0.3698329424797029,31
ENSG00000023902,PLEKHO1,neutral,0.5089214507049141,31
ENSG00000023909,GCLM,neutral,0.313640697429421,31
ENSG00000024048,,neutral,0.7832148487349518,31
ENSG00000024862,CCDC28A,neutral,0.35036011737683337,31
ENSG00000025039,RRAGD,neutral,0.5948884651665549,31
ENSG00000025156,HSF2,neutral,0.5295429821081867,31
ENSG00000026751,SLAMF7,neutral,0.5475995375300886,31
ENSG00000027644,INSRR,regulation-driven,0.5478540516047444,31
ENSG00000027697,IFNGR1,gene-driven,0.3242212725339919,31
ENSG00000027869,SH2D2A,neutral,0.3975115964375313,31
ENSG00000028137,TNFRSF1B,neutral,0.5379948633190319,31
ENSG00000028310,BRD9,gene-driven,0.4002084675055644,31
ENSG00000028839,TBPL1,neutral,0.5675383210747025,31
ENSG00000029364,SLC39A9,gene-driven,0.6258085457802589,31
ENSG00000029559,IBSP,neutral,0.3581958490137823,31
ENSG00000029639,TFB1M,neutral,0.40386218406570884,31
ENSG00000030304,MUSK,neutral,0.6067599039842781,31
ENSG00000030419,IKZF2,gene-driven,0.6880388199054727,31
ENSG00000031691,CENPQ,neutral,0.3306583474085495,31
ENSG00000032219,ARID4A,gene-driven,0.2909513443206857,31
ENSG00000032389,EIPR1,gene-driven,0.4954870938362289,31
ENSG00000033100,CHPF2,neutral,0.5036445512088181,31
ENSG00000034677,RNF19A,gene-driven,0.3300000227514822,31
ENSG00000034971,MYOC,neutral,0.25615260683222973,31
ENSG00000035115,SH3YL1,gene-driven,0.41862357110383974,31
ENSG00000035403,VCL,regulation-driven,0.8959883959996742,31
ENSG00000035499,DEPDC1B,neutral,0.48103453799190254,31
ENSG00000035681,NSMAF,gene-driven,0.3489977544498858,31
ENSG00000035687,ADSS2,neutral,0.6635521513967579,31
ENSG00000035720,STAP1,gene-driven,0.5547416682606061,31
ENSG00000036549,ZZZ3,neutral,0.8961722554686352,31
ENSG00000036565,SLC18A1,neutral,0.5727822502983053,31
ENSG00000037749,MFAP3,neutral,0.626891558752051,31
ENSG00000038219,BOD1L1,neutral,0.5021102663981458,31
ENSG00000038274,MAT2B,gene-driven,0.5663493777318718,31
ENSG00000039600,SOX30,regulation-driven,0.3121738555391125,31
ENSG00000040487,SLC66A1,regulation-driven,0.45306967225002326,31
ENSG00000040731,CDH10,regulation-driven,0.5069712138130344,31
ENSG00000041515,MYO16,regulation-driven,0.33306981107344646,31
ENSG00000041880,PARP3,gene-driven,0.7527442058267338,31
ENSG00000043039,BARX2,neutral,0.382677370278905,31
ENSG00000043093,DCUN1D1,gene-driven,0.644594961561501,31
ENSG00000043143,JADE2,neutral,0.8585791600675399,31
ENSG00000043355,ZIC2,neutral,0.5534404019496949,31
ENSG00000043462,LCP2,gene-driven,0.5387088711054954,31
ENSG00000044012,GUCA2B,neutral,0.5689296375281008,31
ENSG00000044115,CTNNA1,gene-driven,0.42893961755048027,31
ENSG00000044459,,neutral,0.7391583178215403,31
ENSG00000044524,EPHA3,regulation-driven,0.6059404625197148,31
ENSG00000044574,HSPA5,gene-driven,0.8888251155209603,31
ENSG00000046889,,neutral,0.4408100073510631,31
ENSG00000047410,TPR,regulation-driven,0.5981332010318021,31
ENSG00000047579,DTNBP1,gene-driven,0.624751465699267,31
ENSG00000047621,C12orf4,neutral,0.6455957489185252,31
ENSG00000047662,FAM184B,neutral,0.3763322236414678,31
ENSG00000047936,ROS1,regulation-driven,0.6783558575601938,31
ENSG00000048544,MRPS10,neutral,0.45618606019506014,31
ENSG00000048545,GUCA1A,neutral,0.6007426882433957,31
ENSG00000048740,CELF2,gene-driven,0.3849616249788186,31
ENSG00000049167,ERCC8,gene-driven,0.8042887173426906,31
ENSG00000049192,ADAMTS6,neutral,0.53388668012452,31
ENSG00000049239,H6PD,neutral,0.47474193749664206,31
ENSG00000049245,VAMP3,gene-driven,0.48242527105614774,31
ENSG00000049246,PER3,gene-driven,0.543459667995805,31
