gene_id,gene_symbol,classification_v7,classification_loo_campra,has_active_har
ENSG00000133639,BTG1,neutral,neutral,N
ENSG00000133731,IMPA1,regulation-driven,neutral,Y
ENSG00000134115,CNTN6,neutral,neutral,N
ENSG00000134516,,neutral,neutral,N
ENSG00000134882,UBAC2,neutral,neutral,N
ENSG00000134987,WDR36,neutral,neutral,N
ENSG00000135144,DTX1,neutral,neutral,N
ENSG00000135333,EPHA7,regulation-driven,regulation-driven,N
ENSG00000135341,MAP3K7,neutral,regulation-driven,N
ENSG00000135363,LMO2,gene-driven,gene-driven,N
ENSG00000135678,CPM,neutral,neutral,N
ENSG00000135903,PAX3,regulation-driven,regulation-driven,N
ENSG00000135966,TGFBRAP1,neutral,neutral,N
ENSG00000136267,DGKB,neutral,dual-driven,N
ENSG00000136935,GOLGA1,neutral,neutral,N
ENSG00000137273,FOXF2,neutral,neutral,Y
ENSG00000137473,TTC29,neutral,regulation-driven,N
ENSG00000138061,CYP1B1,neutral,neutral,N
ENSG00000138311,ZNF365,neutral,neutral,N
ENSG00000138653,NDST4,neutral,regulation-driven,N
ENSG00000138678,GPAT3,gene-driven,neutral,N
ENSG00000138814,PPP3CA,neutral,gene-driven,Y
ENSG00000139318,DUSP6,gene-driven,gene-driven,Y
ENSG00000139350,NEDD1,neutral,neutral,N
ENSG00000139515,PDX1,neutral,neutral,Y
ENSG00000140009,ESR2,regulation-driven,regulation-driven,N
ENSG00000140025,EFCAB11,regulation-driven,neutral,Y
ENSG00000140575,,neutral,neutral,Y
ENSG00000142611,PRDM16,regulation-driven,regulation-driven,Y
ENSG00000142655,PEX14,gene-driven,gene-driven,Y
ENSG00000143013,LMO4,neutral,neutral,N
ENSG00000143344,RGL1,regulation-driven,regulation-driven,Y
ENSG00000143476,DTL,neutral,regulation-driven,N
ENSG00000143786,CNIH3,neutral,neutral,Y
ENSG00000143995,MEIS1,neutral,dual-driven,N
ENSG00000144229,THSD7B,neutral,regulation-driven,N
ENSG00000144278,GALNT13,regulation-driven,regulation-driven,N
ENSG00000144320,LNPK,regulation-driven,neutral,Y
ENSG00000144339,TMEFF2,regulation-driven,regulation-driven,Y
ENSG00000144452,ABCA12,regulation-driven,regulation-driven,N
ENSG00000144560,VGLL4,neutral,neutral,N
ENSG00000144619,CNTN4,dual-driven,dual-driven,Y
ENSG00000144642,RBMS3,regulation-driven,regulation-driven,N
ENSG00000144655,CSRNP1,gene-driven,gene-driven,N
ENSG00000145358,DDIT4L,neutral,gene-driven,Y
ENSG00000145416,MARCHF1,neutral,neutral,N
ENSG00000145700,ANKRD31,gene-driven,gene-driven,N
ENSG00000145860,RNF145,regulation-driven,regulation-driven,Y
ENSG00000145996,CDKAL1,regulation-driven,neutral,Y
ENSG00000146151,HMGCLL1,neutral,regulation-driven,N
ENSG00000146263,MMS22L,neutral,neutral,N
ENSG00000146857,STRA8,neutral,neutral,Y
ENSG00000148484,RSU1,neutral,gene-driven,Y
ENSG00000148655,LRMDA,neutral,neutral,Y
ENSG00000148702,HABP2,neutral,regulation-driven,N
ENSG00000148926,ADM,neutral,neutral,N
ENSG00000148985,PGAP2,neutral,regulation-driven,N
ENSG00000149403,GRIK4,regulation-driven,regulation-driven,N
ENSG00000149571,KIRREL3,gene-driven,neutral,N
ENSG00000150681,RGS18,neutral,neutral,N
ENSG00000150760,,neutral,neutral,N
ENSG00000150873,C2orf50,gene-driven,gene-driven,N
ENSG00000150938,CRIM1,neutral,dual-driven,N
ENSG00000151164,RAD9B,neutral,neutral,N
ENSG00000151376,ME3,neutral,neutral,N
ENSG00000151413,NUBPL,gene-driven,gene-driven,N
ENSG00000151532,VTI1A,neutral,neutral,N
ENSG00000151702,FLI1,regulation-driven,regulation-driven,N
ENSG00000151962,RBM46,neutral,gene-driven,Y
ENSG00000151967,SCHIP1,neutral,regulation-driven,N
ENSG00000152104,PTPN14,regulation-driven,regulation-driven,N
ENSG00000152127,MGAT5,regulation-driven,regulation-driven,Y
ENSG00000152404,CWF19L2,neutral,neutral,N
ENSG00000153002,CPB1,regulation-driven,regulation-driven,N
ENSG00000153823,PID1,neutral,neutral,N
ENSG00000153989,NUS1,neutral,neutral,Y
ENSG00000154146,NRGN,gene-driven,gene-driven,N
ENSG00000154274,C4orf19,neutral,neutral,N
ENSG00000154342,WNT3A,neutral,regulation-driven,N
ENSG00000155052,CNTNAP5,regulation-driven,regulation-driven,N
ENSG00000155087,ODF1,gene-driven,gene-driven,N
ENSG00000155629,PIK3AP1,regulation-driven,regulation-driven,N
ENSG00000157445,CACNA2D3,neutral,dual-driven,N
ENSG00000157884,CIB4,neutral,neutral,N
ENSG00000157927,RADIL,gene-driven,gene-driven,N
ENSG00000157978,LDLRAP1,neutral,neutral,N
ENSG00000157992,KRTCAP3,gene-driven,gene-driven,N
ENSG00000158089,GALNT14,regulation-driven,regulation-driven,Y
ENSG00000158258,CLSTN2,regulation-driven,regulation-driven,Y
ENSG00000158816,VWA5B1,dual-driven,neutral,Y
ENSG00000158966,CACHD1,regulation-driven,regulation-driven,Y
ENSG00000160563,,gene-driven,gene-driven,N
ENSG00000160683,,neutral,neutral,N
ENSG00000162409,,neutral,regulation-driven,N
ENSG00000162456,,neutral,neutral,N
ENSG00000162599,,gene-driven,gene-driven,N
ENSG00000162814,,regulation-driven,neutral,Y
ENSG00000162931,,gene-driven,gene-driven,N
ENSG00000162999,,neutral,neutral,N
ENSG00000163293,,gene-driven,neutral,N
ENSG00000163492,,regulation-driven,regulation-driven,Y
ENSG00000163501,,neutral,neutral,N
ENSG00000163623,,neutral,neutral,Y
ENSG00000164100,,regulation-driven,regulation-driven,N
ENSG00000164125,,neutral,neutral,Y
ENSG00000164161,,gene-driven,gene-driven,N
ENSG00000164241,,neutral,gene-driven,Y
ENSG00000164258,,gene-driven,gene-driven,N
ENSG00000164330,,neutral,regulation-driven,N
ENSG00000164684,,neutral,neutral,N
ENSG00000164692,,neutral,regulation-driven,N
ENSG00000164756,,neutral,neutral,N
ENSG00000164808,,gene-driven,gene-driven,N
ENSG00000164902,,neutral,neutral,N
ENSG00000164919,,neutral,neutral,N
ENSG00000164935,,neutral,neutral,N
ENSG00000164946,,regulation-driven,regulation-driven,Y
ENSG00000165046,,gene-driven,gene-driven,Y
ENSG00000165071,,dual-driven,neutral,Y
ENSG00000165115,,neutral,neutral,N
ENSG00000165275,,neutral,neutral,N
ENSG00000165495,,neutral,regulation-driven,N
ENSG00000165632,,gene-driven,gene-driven,N
ENSG00000165669,,gene-driven,gene-driven,N
ENSG00000165695,,neutral,neutral,N
ENSG00000165714,,gene-driven (relaxed),neutral,N
ENSG00000165832,,neutral,neutral,Y
ENSG00000165861,,neutral,regulation-driven,N
ENSG00000165966,,regulation-driven,regulation-driven,N
ENSG00000165983,,neutral,neutral,N
ENSG00000166035,,gene-driven,neutral,N
ENSG00000166326,,neutral,neutral,N
ENSG00000166343,,gene-driven (relaxed),gene-driven (relaxed),N
ENSG00000166435,,neutral,regulation-driven,N
ENSG00000168079,,neutral,neutral,Y
ENSG00000168237,,neutral,neutral,N
ENSG00000168439,,dual-driven,neutral,Y
ENSG00000168497,,neutral,neutral,N
ENSG00000168702,,regulation-driven,regulation-driven,N
ENSG00000168772,,gene-driven,neutral,N
ENSG00000168907,,gene-driven,gene-driven,N
ENSG00000169375,,neutral,neutral,Y
ENSG00000169519,,neutral,neutral,N
ENSG00000169744,,regulation-driven,regulation-driven,Y
