period,n_samples,gd_OR,gd_p,gd_n_high,rd_OR,rd_p,rd_n_high
early_prenatal,172,1.1680625559376325,0.02582747949917938,294,1.0933625075989108,0.19593915787567528,159
late_prenatal,65,1.1780949220046466,0.02002475259606462,294,1.167233593963398,0.06362066239422533,165
early_postnatal,103,1.1213623831120378,0.07758616220484496,288,1.1651830249311241,0.06544046693219129,166
late_postnatal,184,1.1479075922001298,0.0422535865411725,293,1.1579283144581545,0.0738053618250943,166
