period,n_samples,n_genes,n_high_expr,gd_OR,gd_p,gd_n_high,rd_OR,rd_p,rd_n_high
early_prenatal,172,4936,1234,1.154189911499255,0.03592784273429024,296,1.0914894143456852,0.1996570174400113,161
late_prenatal,65,4936,1234,1.1681738638667478,0.02521923231460893,298,1.1891113223238683,0.04200406320302003,170
early_postnatal,103,4936,1234,1.1403330249768733,0.05012151832260884,294,1.145041014168531,0.09083448059864609,166
late_postnatal,184,4936,1234,1.1403330249768733,0.05012151832260884,294,1.145041014168531,0.09083448059864609,166
