cell_type,cell_type_group,cell_type_class,n_genes,n_high_expr,v7_gd_OR,v7_gd_p,v7_gd_n,v7_rd_OR,v7_rd_p,v7_rd_n,loo_brain_gd_OR,loo_brain_gd_p,loo_brain_gd_n,loo_brain_rd_OR,loo_brain_rd_p,loo_brain_rd_n,loo_tau_gd_OR,loo_tau_gd_p,loo_tau_gd_n,loo_tau_rd_OR,loo_tau_rd_p,loo_tau_rd_n,loo_campra_gd_OR,loo_campra_gd_p,loo_campra_gd_n,loo_campra_rd_OR,loo_campra_rd_p,loo_campra_rd_n,loo_double_gd_OR,loo_double_gd_p,loo_double_gd_n,loo_double_rd_OR,loo_double_rd_p,loo_double_rd_n,v7_gd_fdr,v7_rd_fdr,loo_brain_gd_fdr,loo_brain_rd_fdr,loo_tau_gd_fdr,loo_tau_rd_fdr,loo_campra_gd_fdr,loo_campra_rd_fdr,loo_double_gd_fdr,loo_double_rd_fdr
brain excitatory neurons,neuronal cells,neuronal cells,4974,1158,1.1367630028051574,0.052151069480682814,304,3.495016083555061,1.5920861280885238e-23,144,1.116633151393278,0.08970163848727383,273,3.1536989032901297,6.873969154284458e-36,273,1.05409440113794,0.2530777028250057,321,6.345249294449671,4.7927278948202755e-27,95,1.1113068783449904,0.10622133093621618,253,2.7077844311377244,1.1614267734244913e-32,323,0.9696982982236934,0.6655565358707681,276,5.658137435736431,3.564769113952943e-58,237,0.053187183443875186,1.2259063186281633e-21,0.09271176058416221,5.2929562487990325e-34,0.25982644156700585,3.690400479011612e-25,0.10691558800115876,8.942986155368583e-31,0.6878906478127402,2.744872217743766e-56
brain inhibitory neurons,neuronal cells,neuronal cells,4974,1147,1.1022070664014398,0.11176769018405755,296,3.651314671722835,4.322533752561352e-25,146,1.0713178399712466,0.20653349673024757,264,3.2816061214130214,2.827132009997941e-38,276,1.0128937594250926,0.44661734375302575,311,7.057121067683508,7.077718097095812e-30,98,1.0916562444166518,0.15282557094194102,248,2.8466919144885248,7.657916646760804e-36,328,0.9436315817592804,0.7795402910059324,269,5.677514345622695,2.6343631997611494e-58,236,0.11249819796303832,6.656701978944483e-23,0.20653349673024757,4.3537832953968294e-36,0.4495364113592547,1.089968586952755e-27,0.15282557094194102,1.1793191636011637e-33,0.7795402910059324,2.744872217743766e-56
breast hormone-responsive cells,luminal cells,glandular epithelial cells,4974,1102,1.521786931286276,2.8004739683753256e-08,339,0.8020916102830817,0.9366352586776088,55,1.557545383888518,1.3081255187226821e-08,313,0.8181120144534779,0.9727321168306445,118,1.3269260484769045,9.936972326674217e-05,346,1.8303328936137193,0.0006519406659398203,50,1.5867452890655045,7.3240044137515705e-09,295,0.7735762077230446,0.996641521086695,149,1.2904759631182647,0.0006006691244453703,309,1.7189322381930185,2.0411659280414607e-06,128,3.9206635557254557e-07,0.9998241684620686,1.6787610823607754e-07,0.9999900707622584,0.0012427528706058868,0.0009127169323157484,8.67612830552109e-08,0.9999999933075148,0.0074787552831955045,2.8066031510570083e-06
breast lactating cells,secretory cells,glandular epithelial cells,4974,1002,1.7051955574583826,7.571707830403233e-12,329,0.6298003072196621,0.998058442865077,41,1.7735993023762808,8.817998467740387e-13,307,0.6984074955409024,0.9993073332120801,95,1.4847357197895077,1.8828079158020163e-07,335,1.2843833185448092,0.1196930330773344,36,1.808873326150531,4.855556623051012e-13,290,0.6512789299594395,0.9999880358956675,119,1.4352209849543491,3.545517136730593e-06,299,1.322827417380661,0.013749400325987628,99,1.1660430058820978e-09,0.9998241684620686,1.3579717640320196e-10,0.9999900707622584,2.8995241903351052e-05,0.12288484729272997,7.47755719949856e-11,0.9999999933075148,0.0005460096390565113,0.014704219793070104
breast myoepithelial cells,secretory gland support,specialized epithelial cells,4974,945,1.4502217309402963,2.8578188216488615e-06,286,0.8264828339362501,0.8966384439188008,48,1.5337046410494046,1.804845827812814e-07,269,0.8220180131812796,0.9620109046753721,101,1.2895817255749344,0.0008043609566344091,294,1.8430376504738324,0.0009244851684632673,44,1.59895531713859,2.2184041544354838e-08,257,0.7574525745257452,0.9970457940857077,125,1.2855812526704427,0.00127744223502166,266,1.455269787333763,0.0015591424616689389,100,1.2225113848164575e-05,0.9998241684620686,1.2084619890572753e-06,0.9999900707622584,0.0044239852614892505,0.001282619062552641,1.897967998794803e-07,0.9999999933075148,0.012356189977158514,0.001818999538613762
breast secretory cells,secretory cells,glandular epithelial cells,4974,1088,1.4613282642271592,5.622647719798479e-07,328,0.7039319017340129,0.9900659104101339,49,1.5262349909534514,6.522216535700373e-08,306,0.7378217821782178,0.9976681477069733,108,1.2842960480261343,0.0005473214496938329,336,1.4817316017316018,0.02296252145764091,43,1.5711195797713462,1.7327744894489675e-08,290,0.672114727976326,0.9999762649284032,133,1.2656038688091322,0.0014855786663177848,302,1.437128205128205,0.0014020199623001881,113,3.7647293428215907e-06,0.9998241684620686,5.580118591654763e-07,0.9999900707622584,0.0034227311787411807,0.026588182740426316,1.7789818091676066e-07,0.9999999933075148,0.012709950811829936,0.001648176138887244
cardiomyocytes,myocytes,muscle cells,4974,1138,1.130900395092535,0.06091482377636616,298,2.0042801475770013,7.388095975533075e-08,106,1.0926379171576828,0.14409718406106278,265,2.012146322076253,1.303935895413255e-13,215,1.051056538578372,0.2668982226670476,315,3.1578315567079613,2.960716372508422e-11,70,1.121007371007371,0.08924115922372405,250,1.8334351818845378,1.502834915854149e-12,262,0.9623934608442475,0.6987703580770253,270,3.221743022998354,1.1232744632720944e-26,185,0.061716334615528876,5.98824621174786e-07,0.14503899572159262,9.127551267892786e-13,0.27220083636241943,1.3682195822609062e-10,0.09041538500298359,1.1020789382930425e-11,0.7033374846004045,4.8051185373306264e-26
cdc,dendritic cells,blood and immune cells,4974,1109,1.363675990450197,3.448387002810523e-05,322,0.9114775269807844,0.7556090501713915,61,1.4405569833592204,2.556114232387822e-06,302,0.9715197259247363,0.6264431028446715,134,1.165538330716902,0.02360534163278601,325,1.6493073036117172,0.0044426708476174885,47,1.444824569164676,3.6821021491373e-06,282,0.9378883461411995,0.7663149745393768,171,1.1452992707743885,0.04524737388444178,291,1.7917942946062009,2.922726020636743e-07,132,7.926143260191352e-05,0.9821436151952451,9.841039794693114e-06,0.8770203439825403,0.039947501224714785,0.005654308351513167,1.1408273913699763e-05,0.9999999933075148,0.09545336408498677,4.1293560291564995e-07
cholangiocytes,ductal cells,specialized epithelial cells,4974,851,1.3823663139189015,7.87669132985485e-05,252,1.1278820573455512,0.2398409589781436,55,1.3971774193548387,7.654288221961834e-05,231,1.0548255465708296,0.33627622570207294,109,1.2326967592592593,0.006646340859680638,259,1.8335845092935106,0.0014335254003508316,40,1.437123690323804,2.934586637355975e-05,219,0.929244208913822,0.7740344772743751,130,1.1839323641002373,0.027488003681103438,229,1.678729790422451,2.6767399599896998e-05,100,0.000157533826597097,0.4627829940292294,0.00013706516118396772,0.5338818428672086,0.01624661099033045,0.001936516768894983,5.629303721145483e-05,0.9999999933075148,0.06614300885765514,3.435149615320115e-05
choroid plexus epithelial cells,ciliated cells,ciliated cells,4974,1079,1.1818209251669327,0.018668980859179934,290,1.9271986114033242,5.680730956583058e-07,99,1.1411680022477735,0.05737457741561588,258,2.1676851087255713,4.840472512989713e-16,214,1.0839208352812841,0.15604476824248284,304,3.592850049652433,1.6356994387223827e-13,72,1.1503579952267302,0.051418401700696774,241,1.9866455584234137,2.352615746390176e-15,261,0.9818784089739632,0.604017201279594,259,3.9998073663122207,9.027258668285203e-37,197,0.01996543786328965,3.4993302692551637e-06,0.06010670014969282,6.7766615181855975e-15,0.16459516650234493,1.2594885678162348e-12,0.05386689701977757,3.0191902078673925e-14,0.6327799251500509,8.177634323034832e-36
colonocytes,enterocytes,glandular epithelial cells,4974,1101,1.365312067646882,3.3613773857147e-05,320,0.9820737515422806,0.5734408040039649,64,1.3884596735089705,2.3090634300606984e-05,294,0.8683047452109678,0.9157576695626775,123,1.2011930856311492,0.008633379953446159,328,1.559741835834069,0.01093498682127139,45,1.4626701212067066,1.8508813584380372e-06,282,0.789593706917525,0.993855694988281,151,1.1739646749138808,0.022378064122541234,293,1.5314068730099537,0.00018318627379372272,119,7.926143260191352e-05,0.8410465125391485,5.4244854545208044e-05,0.9999900707622584,0.019552066365157477,0.013156156019342141,6.6287378883594824e-06,0.9999999933075148,0.056495440571661476,0.00022568548931386638
cone photoreceptor cells,neuronal cells,neuronal cells,4974,784,1.3126188092232234,0.0011344266279365728,226,2.202765288073345,2.872265399261548e-08,82,1.2741708712125566,0.0044095360164475225,202,2.2039083267476114,4.9736056813139376e-14,164,1.1619293515514326,0.04477215148643559,231,3.1252789977680178,1.0772548602713524e-09,53,1.3391389994664915,0.0009614937583712797,194,1.9617926447684126,2.4053173709927742e-12,195,1.0824910557603624,0.20004155909266927,200,3.727763986057825,6.039142906357729e-29,151,0.0014558475058519351,2.9013781358499085e-07,0.005305223019788426,3.647310832963554e-13,0.06325606723771635,3.9499344876616255e-09,0.0012136888425342382,1.6105168484038577e-11,0.26107118729043277,2.906337523684657e-28
conjunctival goblet cells,goblet cells,glandular epithelial cells,4974,884,1.3418811110611144,0.0002606711587112988,257,1.1255610435923187,0.24040675014505425,57,1.3618371171480481,0.0002039307882733277,236,1.1323436797121007,0.14076889138233192,119,1.154948148148148,0.04373090867218,259,2.442127930308814,1.4580024121525309e-06,50,1.4044769301050708,7.059596332656434e-05,224,1.0289849084279354,0.4046929727863142,145,1.1124869261149877,0.11351263515292981,229,2.0014336527293843,8.7384660229554e-09,116,0.00042705700469723425,0.4627829940292294,0.00032376640612466457,0.25207452642882694,0.06235703643996037,2.9543733088353915e-06,0.00011565721651373306,0.7246827652220045,0.17307867142129893,1.3457237675351317e-08
corticotrophs,pituitary endocrine cells,endocrine cells,4974,1053,1.3429539752637216,0.0001035694239543655,304,1.9607893677003625,3.301408028156981e-07,98,1.3631735677821895,7.847065005595893e-05,279,1.8706893687707642,1.0045166403387322e-10,193,1.2432808025416138,0.0025757352193585613,320,3.508490492213788,5.820256485506547e-13,70,1.372888968738771,8.115518395017788e-05,261,1.5934804865409165,1.2228615664507027e-07,226,1.162577686447474,0.032083555375412985,279,3.3416533333333334,1.3794910431103646e-27,178,0.00020189482644268717,2.3109856197098865e-06,0.00013890207021399626,4.68774432158075e-10,0.008229644005913491,3.734664578200035e-12,0.00013018644092007702,5.23113003426134e-07,0.07486162920929697,6.437624867848368e-27
cytotrophoblasts,trophoblast cells,trophoblast cells,4974,1057,1.5573982211655162,7.487209167408272e-09,330,0.6578517467805687,0.9965399938852758,45,1.6553922102312162,1.714192600948357e-10,311,0.6933623388553818,0.9995609884492725,100,1.3309136891359028,0.00010490770985634108,333,1.290623606030868,0.11013075419066345,38,1.6936083099552657,6.952891794676145e-11,294,0.6302524995334626,0.9999980771117408,123,1.3151781461959602,0.0002940310136696915,300,1.3017155835080363,0.01748721675924193,103,1.9217170196347897e-07,0.9998241684620686,4.626316178463655e-09,0.9999900707622584,0.0012427528706058868,0.11382641708296759,1.6620394754521053e-09,0.9999999933075148,0.005489198702328196,0.018572630213263844
decidual stromal cells,stromal cells,mesenchymal cells,4974,1062,1.4132838361231355,5.6943994730922226e-06,315,0.784240581734522,0.9503058019644023,52,1.496125820600945,3.1881551060297375e-07,296,0.8425606493081108,0.9486960673512326,116,1.2603068573217826,0.0014110327876842494,325,1.4784683684794673,0.024511086547386863,42,1.5448308005246387,7.230541783351756e-08,281,0.7332169341232785,0.9993067268561202,138,1.234482524255348,0.0043354683386659905,291,1.427173258381851,0.0018390234566801414,110,2.1388719972102494e-05,0.9998241684620686,1.8184292086243688e-06,0.9999900707622584,0.0056495455992514555,0.028169457673862513,3.839667015986794e-07,0.9999999933075148,0.022255404138485417,0.002129395581419111
differentiating spermatogonia,spermatogenic cell types,germ cells,4974,1097,1.5255864180819512,2.4313366096114756e-08,338,0.5751099865939088,0.9997753741535123,42,1.5700183699433972,7.517033380445645e-09,313,0.7568609941572453,0.9955336645508439,111,1.3380802769855031,6.461166120854273e-05,346,1.3206489365429763,0.08586405796039143,40,1.6818608180601373,7.55472488841866e-11,303,0.7639687273313452,0.9976776636829467,147,1.2854275668073136,0.0007307607310421955,307,1.5393840548402893,0.00015574667516868524,119,3.7442583788016727e-07,0.9998241684620686,1.0523846732623902e-07,0.9999900707622584,0.0011398078737914128,0.09182683976319639,1.6620394754521053e-09,0.9999999933075148,0.00803836804146415,0.00019342732238691553
