gene_id,gene_symbol,classification_loo_brain,prenatal_mean,postnatal_mean,ratio
ENSG00000014641,MDH1,gene-driven,28.880991084388185,27.149828770034848,1.0637632866496753
ENSG00000014824,SLC30A9,neutral,0.9037576497890297,0.9963752404181185,0.9070454715532446
ENSG00000014914,MTMR11,neutral,9.85926175949367,7.182533428571429,1.3726718932172974
ENSG00000014919,COX15,neutral,4.944061489451477,1.503947592334495,3.287389477300258
ENSG00000015520,NPC1L1,regulation-driven,2.5549572151898734,4.621010766550523,0.5529000784166296
ENSG00000015592,STMN4,neutral,30.282714835443038,38.043284811846696,0.7960068376117981
ENSG00000016082,ISL1,neutral,1.0692079578059073,4.267140505226481,0.2505677880764225
ENSG00000016391,CHDH,neutral,0.10741111392405063,0.7179571602787456,0.14960657803363708
ENSG00000016490,CLCA1,regulation-driven,0.016393894514767932,0.8411515923344947,0.01948982164947111
ENSG00000016602,CLCA4,neutral,10.515372957805907,8.153679693379791,1.2896475399130092
ENSG00000016864,GLT8D1,neutral,19.854104143459917,18.609478348432056,1.0668812833828158
ENSG00000017427,IGF1,gene-driven,8.583551021097046,8.683878222996515,0.9884467286017686
ENSG00000018280,SLC11A1,regulation-driven,2.2947636919831225,2.3581843344947737,0.9731061556198325
ENSG00000018408,WWTR1,neutral,7.20310511814346,5.0831070139372825,1.4170673759953099
ENSG00000018510,AGPS,neutral,0.3124559746835443,0.1954512857142857,1.5986386251779292
ENSG00000019102,VSIG2,neutral,4.807373683544304,5.954373703832752,0.8073684862019763
ENSG00000019485,PRDM11,gene-driven,64.58161989029536,36.87426853658536,1.7514007044294242
ENSG00000019505,SYT13,gene-driven,2.7193300632911397,0.647714006968641,4.198349941539547
ENSG00000019582,CD74,neutral,0.2531067426160338,0.6075791045296167,0.41658236882913735
ENSG00000019995,ZRANB1,neutral,33.450639552742615,118.07997431358885,0.28328799821641776
ENSG00000020633,RUNX3,gene-driven,1.7754893164556962,1.0917724599303136,1.6262448281293187
ENSG00000020922,MRE11,neutral,6.920243345991562,111.20696591289197,0.062228506003950905
ENSG00000021355,SERPINB1,neutral,0.0098752194092827,0.023845254355400695,0.41413772577544633
ENSG00000021852,C8B,gene-driven,42.114469109704636,32.2186832891986,1.307144327770329
ENSG00000022840,RNF10,regulation-driven,2.7047503797468355,2.983771515679442,0.9064870971297981
ENSG00000023041,ZDHHC6,neutral,8.76501399578059,17.64379372473868,0.4967760410557854
ENSG00000023318,ERP44,gene-driven,22.201176248945146,20.82354237630662,1.0661575176664477
ENSG00000023516,AKAP11,neutral,2.8518711940928267,7.077338069686411,0.40295816958468256
ENSG00000023572,GLRX2,neutral,2.4230076962025318,1.6653491533101044,1.4549547711280122
ENSG00000023608,SNAPC1,neutral,5.01560317721519,4.09330156445993,1.225319732306835
ENSG00000023697,DERA,gene-driven,49.26538441772152,43.423669432055746,1.1345283588897572
ENSG00000023902,PLEKHO1,neutral,1.5541787004219407,2.5649065993031357,0.6059396863980149
