gene_id,gene_symbol,classification_v7,stability
ENSG00000008197,TFAP2D,neutral,0.978
ENSG00000008256,CYTH3,neutral,0.995
ENSG00000008323,PLEKHG6,neutral,0.99
ENSG00000008394,MGST1,neutral,1.0
ENSG00000008405,CRY1,neutral,0.993
ENSG00000008516,MMP25,gene-driven,1.0
ENSG00000008952,SEC62,gene-driven (relaxed),0.911
ENSG00000009709,PAX7,neutral,0.532
ENSG00000009724,MASP2,neutral,0.572
ENSG00000009765,IYD,neutral,0.955
ENSG00000009780,FAM76A,gene-driven,1.0
ENSG00000009790,TRAF3IP3,gene-driven,0.984
ENSG00000009844,VTA1,gene-driven,1.0
ENSG00000009954,BAZ1B,neutral,0.976
ENSG00000010017,RANBP9,neutral,1.0
ENSG00000010072,SPRTN,neutral,1.0
ENSG00000010165,METTL13,neutral,1.0
ENSG00000010244,ZNF207,gene-driven,1.0
ENSG00000010256,UQCRC1,neutral,1.0
ENSG00000010278,CD9,gene-driven,1.0
ENSG00000010295,IFFO1,neutral,0.955
ENSG00000010322,NISCH,neutral,1.0
ENSG00000010539,ZNF200,gene-driven,1.0
ENSG00000010704,HFE,neutral,1.0
ENSG00000010803,SCMH1,neutral,0.64
ENSG00000011007,ELOA,gene-driven (relaxed),0.652
ENSG00000011021,CLCN6,gene-driven,1.0
ENSG00000011083,SLC6A7,neutral,0.623
ENSG00000011114,BTBD7,neutral,0.594
ENSG00000011376,LARS2,gene-driven,1.0
ENSG00000011405,PIK3C2A,neutral,0.79
ENSG00000011465,DCN,neutral,0.625
ENSG00000012171,SEMA3B,gene-driven,0.998
ENSG00000012232,EXTL3,gene-driven,1.0
ENSG00000012660,ELOVL5,neutral,0.94
ENSG00000012779,ALOX5,regulation-driven,0.599
ENSG00000012822,CALCOCO1,gene-driven,1.0
ENSG00000012963,UBR7,neutral,0.578
ENSG00000013016,EHD3,neutral,0.756
ENSG00000013293,SLC7A14,neutral,0.511
ENSG00000013297,CLDN11,neutral,1.0
ENSG00000013374,NUB1,gene-driven,1.0
ENSG00000013392,RWDD2A,neutral,1.0
ENSG00000013441,CLK1,neutral,1.0
ENSG00000013561,RNF14,neutral,1.0
ENSG00000013583,HEBP1,gene-driven,1.0
ENSG00000013810,TACC3,neutral,0.988
ENSG00000014123,UFL1,neutral,1.0
ENSG00000014138,POLA2,gene-driven,1.0
ENSG00000014164,ZC3H3,gene-driven,1.0
ENSG00000014257,ACP3,gene-driven,0.558
ENSG00000014641,MDH1,gene-driven,1.0
ENSG00000014824,SLC30A9,neutral,1.0
ENSG00000014914,MTMR11,neutral,1.0
ENSG00000014919,COX15,neutral,1.0
ENSG00000015520,NPC1L1,regulation-driven,0.767
ENSG00000015592,STMN4,neutral,0.737
ENSG00000016082,ISL1,neutral,0.954
ENSG00000016391,CHDH,neutral,1.0
ENSG00000016490,CLCA1,neutral,0.675
ENSG00000016602,CLCA4,regulation-driven,0.934
ENSG00000016864,GLT8D1,neutral,1.0
ENSG00000017427,IGF1,gene-driven,1.0
ENSG00000018280,SLC11A1,regulation-driven,1.0
ENSG00000018408,WWTR1,gene-driven,0.578
ENSG00000018510,AGPS,neutral,0.914
ENSG00000019102,VSIG2,neutral,1.0
ENSG00000019485,PRDM11,gene-driven,1.0
ENSG00000019505,SYT13,gene-driven,1.0
ENSG00000019582,CD74,neutral,1.0
ENSG00000019995,ZRANB1,neutral,0.985
ENSG00000020633,RUNX3,gene-driven,0.94
ENSG00000020922,MRE11,neutral,0.916
ENSG00000021355,SERPINB1,neutral,1.0
ENSG00000021852,C8B,gene-driven,0.94
ENSG00000022840,RNF10,neutral,0.57
ENSG00000023041,ZDHHC6,neutral,0.962
ENSG00000023318,ERP44,gene-driven,1.0
ENSG00000023516,AKAP11,neutral,1.0
ENSG00000023572,GLRX2,neutral,1.0
ENSG00000023608,SNAPC1,neutral,1.0
ENSG00000023697,DERA,gene-driven,0.999
ENSG00000023902,PLEKHO1,neutral,1.0
ENSG00000023909,GCLM,neutral,1.0
ENSG00000024048,,neutral,0.576
ENSG00000024862,CCDC28A,neutral,1.0
ENSG00000025039,RRAGD,neutral,1.0
ENSG00000025156,HSF2,neutral,1.0
ENSG00000026751,SLAMF7,neutral,1.0
ENSG00000027644,INSRR,neutral,0.902
ENSG00000027697,IFNGR1,gene-driven,1.0
ENSG00000027869,SH2D2A,neutral,1.0
ENSG00000028137,TNFRSF1B,neutral,0.861
ENSG00000028310,BRD9,gene-driven,1.0
ENSG00000028839,TBPL1,neutral,1.0
ENSG00000029364,SLC39A9,gene-driven,1.0
ENSG00000029559,IBSP,neutral,1.0
ENSG00000029639,TFB1M,neutral,1.0
ENSG00000030304,MUSK,neutral,0.986
ENSG00000030419,IKZF2,gene-driven,0.992
ENSG00000031691,CENPQ,neutral,1.0
ENSG00000032219,ARID4A,gene-driven,1.0
ENSG00000032389,EIPR1,gene-driven,0.997
ENSG00000033100,CHPF2,neutral,0.999
ENSG00000034677,RNF19A,gene-driven,1.0
ENSG00000034971,MYOC,neutral,1.0
ENSG00000035115,SH3YL1,gene-driven,1.0
ENSG00000035403,VCL,regulation-driven,0.8
ENSG00000035499,DEPDC1B,gene-driven,0.892
ENSG00000035681,NSMAF,gene-driven,1.0
ENSG00000035687,ADSS2,neutral,1.0
ENSG00000035720,STAP1,gene-driven,0.905
ENSG00000036549,ZZZ3,gene-driven,0.515
ENSG00000036565,SLC18A1,neutral,0.994
ENSG00000037749,MFAP3,neutral,1.0
ENSG00000038219,BOD1L1,neutral,1.0
ENSG00000038274,MAT2B,gene-driven,0.996
ENSG00000039600,SOX30,neutral,0.871
ENSG00000040487,SLC66A1,regulation-driven,0.76
ENSG00000040731,CDH10,regulation-driven,1.0
ENSG00000041515,MYO16,regulation-driven,0.583
ENSG00000041880,PARP3,gene-driven,0.986
ENSG00000043039,BARX2,neutral,1.0
ENSG00000043093,DCUN1D1,gene-driven,0.99
ENSG00000043143,JADE2,neutral,0.889
ENSG00000043355,ZIC2,neutral,1.0
ENSG00000043462,LCP2,gene-driven,0.619
ENSG00000044012,GUCA2B,neutral,1.0
ENSG00000044115,CTNNA1,gene-driven,1.0
ENSG00000044459,,neutral,0.974
ENSG00000044524,EPHA3,regulation-driven,0.774
ENSG00000044574,HSPA5,gene-driven,1.0
ENSG00000046889,,neutral,1.0
